Company,Product Type,Retail Presence,Manufacturing Model,Division,Natoli Fit,Fit Reason,Confidence,Next Steps
"Global Nuclear Fuel - Americas, LLC",Nuclear fuel pellets,None,In-house,Engineering,Weak,"Focus on nuclear fuel production, limited overlap with tablet compression.",High,Low priority
Framatome Inc.,Nuclear fuel components,None,In-house,Engineering,Weak,Focus on nuclear energy rather than tablet compression.,High,Low priority
"BWX Technologies, Inc.","Nuclear fuel pellets, battery components",None,In-house,Engineering,Weak,"Focus on nuclear and energy sectors, limited overlap with tablet compression.",High,Low priority
Areva Inc.,"Tablets, pellets, compacts",None,In-house,Both,Strong,Areva's offerings align well with Natoli's tablet press and tooling products.,High,Research and outreach
"Nuclear Fuel Services, Inc.",Nuclear fuel pellets,None,In-house,Engineering,Weak,Focus on nuclear applications limits broader tablet compression market.,High,Low priority
Energy Harbor Corp.,Energy products,None,Unknown,NoFit,Weak,"Focus on energy sector, not tablet compression.",High,Low priority
Terrestrial Energy USA,Nuclear fuel pellets,None,Unknown,Engineering,Weak,Focus on nuclear energy rather than tablet compression.,High,Low priority
X-energy,"Tablets, pellets, compacts",None,Hybrid,Engineering|Scientific,Strong,X-energy's focus on powder compression aligns with Natoli's offerings.,High,Research and outreach
Southern Company,Energy solutions,None,In-house,NoFit,Weak,Focus on energy rather than tablet compression.,Medium,Low priority
Dominion Energy,Energy-related materials,None,Unknown,NoFit,Weak,"Focus on energy, not tablet compression.",High,Low priority
Pacific Gas and Electric Company,None,None,Unknown,NoFit,NoFit,"PG&E operates in energy, not tablet compression.",High,Low priority
Public Service Enterprise Group (PSEG),None,None,Unknown,NoFit,NoFit,"PSEG focuses on energy and utilities, not tablet compression.",High,Low priority
W.R. Grace & Co,Powders for various applications,None,Hybrid,Both,Strong,W.R. Grace's diverse applications align with Natoli's tablet compression services.,High,Research and outreach
UOP LLC (Honeywell),"Tablets, pellets, compacts",None,Hybrid,Engineering|Scientific,Strong,UOP's technologies align with Natoli's tablet compression needs.,High,Research and outreach
INEOS Olefins & Polymers USA,Polymers and olefins,None,In-house,Engineering,Weak,Focus on chemical production rather than tablet compression.,High,Low priority
Chevron Phillips Chemical Company,Polymers and chemicals,None,In-house,Engineering,Weak,Focus on chemical production rather than tablet compression.,High,Low priority
LyondellBasell Industries,Plastics and polymers,None,In-house,Engineering,Weak,"Focus on plastics, not tablet compression.",High,Low priority
Flint Hills Resources,Various powders for tablets and pellets,None,In-house,Engineering,Medium,Potential for collaboration in powder compression technology.,High,Research and outreach
American Elements,"Powders into tablets, pellets, or compacts",None,Hybrid,Engineering|Scientific,Strong,Complementary products and services for tablet manufacturing,High,Research and outreach
Dow Chemical Company,Chemicals and materials for various applications,None,In-house,Both,Medium,Potential for collaboration in tablet formulation and material development.,High,Research and outreach
Shell Catalysts & Technologies,Catalysts and related materials,None,In-house,Engineering,Medium,Potential need for tablet compression in catalyst production.,High,Research and outreach
Plug Power Inc.,Hydrogen fuel cells,None,In-house,Engineering,Weak,"Focus on fuel cells, not tablet compression.",High,Low priority
Proton OnSite,Hydrogen generation systems,None,In-house,Engineering,Weak,"Focus on hydrogen technology, limited overlap with tablet compression.",High,Low priority
Hexagon Lincoln,Hydrogen tanks,None,In-house,Engineering,Weak,"Focus on gas storage, not tablet compression.",High,Low priority
Giner ELX,Hydrogen fuel cells and related technologies,None,In-house,Engineering|Scientific,Medium,Potential for collaboration in R&D for tablet formulations and compression technologies.,High,Research and outreach
McPhy Energy,Hydrogen storage and production solutions,None,Unknown,Engineering,Weak,Focus on energy solutions rather than tablet compression.,High,Low priority
Hydrogenics USA,Hydrogen fuel cells and related technologies,None,In-house,Engineering,Weak,Focus on hydrogen technology rather than tablet compression.,High,Low priority
Nel Hydrogen,Hydrogen pellets,None,Unknown,Engineering,Weak,"Focus on hydrogen solutions, limited overlap with tablet compression.",High,Low priority
"Praxair, Inc.",Gases for compression processes,None,In-house,Engineering,Medium,Praxair provides gases essential for tablet compression processes.,High,Research and outreach
StratosFuel,Powders for tablets and pellets,None,In-house,Both,Strong,StratosFuel's focus on powder compression aligns with Natoli's offerings.,High,Research and outreach
Hyon USA,Powders for tablets and pellets,None,CDMO,Both,Strong,Hyon's focus on powder compression aligns with Natoli's offerings.,High,Research and outreach
PowerCell Sweden AB,Hydrogen fuel cells,None,In-house,Engineering,Medium,Potential for collaboration in tablet press technology for battery components.,High,Research and outreach
Linde Engineering North America,Gases and engineering solutions for compression,None,In-house,Engineering,Medium,Provides engineering solutions relevant to tablet compression processes.,High,Research and outreach
"Nuvera Fuel Cells, LLC",Hydrogen fuel cells,None,Unknown,Engineering,Weak,"Focus on fuel cells, not tablet compression.",High,Low priority
United Hydrogen Group,"Hydrogen pellets, catalysts",None,In-house,Engineering,Medium,Potential for tablet press applications in hydrogen storage and catalysts.,High,Research and outreach
Hazer Group Limited,Hydrogen pellets,None,In-house,Engineering,Medium,Potential for tablet press applications in hydrogen storage.,High,Research and outreach
Carbon Clean Solutions,"Powders for tablets, pellets, compacts",None,Unknown,Engineering,Medium,Potential collaboration in R&D and engineering solutions for powder compression.,High,Research and outreach
Global Thermostat,Powders for tablets and pellets,None,Hybrid,Engineering,Strong,Natoli's products align with Global Thermostat's powder compression needs.,High,Research and outreach
Svante Inc.,"Powders into tablets, pellets, or compacts",None,In-house,Engineering,Strong,Svante's technology aligns with Natoli's tablet pressing and tooling services.,High,Research and outreach
LanzaTech,Biofuels and chemicals,None,Hybrid,Scientific,Weak,"LanzaTech focuses on gas fermentation technology, not tablet compression.",High,Low priority
CarbonCure Technologies,Carbon dioxide for concrete,None,In-house,Engineering,Weak,Focus on carbon utilization rather than tablet compression.,High,Low priority
Climeworks,Carbon dioxide,None,In-house,Scientific,Weak,"Focus on carbon capture, not tablet compression.",High,Low priority
Carbon Engineering,"Hydrogen, Catalyst",None,Unknown,Engineering,Weak,Focus on engineering solutions rather than tablet compression.,High,Low priority
AirCapture LLC,"Powders into tablets, pellets, or compacts",None,Unknown,Engineering|Scientific,Medium,Potential collaboration in R&D and tooling for tablet production,High,Research and outreach
CarbonFree Chemicals,Chemicals for various applications,None,In-house,Scientific,Medium,Potential for tablet compression in chemical applications.,High,Research and outreach
Opus 12,Hydrogen and other gases,None,Unknown,Scientific,Medium,"Opus 12 focuses on gas conversion, which may align with industries using tablet presses for specialized applications.",High,Research and outreach
Charm Industrial,Biomass pellets,None,In-house,Engineering,Medium,"Charm Industrial focuses on biomass conversion, which aligns with Natoli's tablet compression technology.",High,Research and outreach
CleanO2 Carbon Capture Technologies,Carbon capture systems,None,Unknown,Engineering,Weak,Focus on carbon capture rather than tablet compression.,High,Low priority
Heirloom Carbon Technologies,Carbon-based materials,None,Unknown,Scientific,Medium,Potential for tablet compression in carbon applications.,High,Research and outreach
Remora Carbon,Carbon-based materials,None,Unknown,Scientific,Medium,Potential use of tablet presses for carbon material applications.,High,Research and outreach
Ebb Carbon,Carbon capture solutions,None,Unknown,NoFit,Weak,"Focus on carbon capture, not tablet compression.",High,Low priority
CarbonBuilt,Carbon-based materials,None,Unknown,Engineering,Medium,Potential for powder compression technology in carbon materials.,High,Research and outreach
Mission Zero Technologies,"Tablets, pellets, compacts",None,CDMO,Both,Strong,Aligns with tablet compression and R&D services.,High,Research and outreach
Noya,"Tablets, pellets, compacts",None,In-house,Both,Strong,Noya's offerings align well with Natoli's tablet pressing and tooling services.,High,Research and outreach
42,"Tablets, pellets, compacts",None,In-house,Both,Strong,Natoli's products and services align well with companies in various industries that require powder compression.,High,Research and outreach
"Ceradyne, Inc.",Ceramic materials and components,None,In-house,Engineering|Scientific,Medium,"Ceradyne specializes in advanced materials, relevant for tablet compression.",High,Research and outreach
Corning Incorporated,"Pharmaceuticals, Specialty Glass",None,In-house,Scientific,Medium,"Corning specializes in advanced materials and technologies, relevant to tablet production.",High,Research and outreach
Blasch Precision Ceramics,Ceramic components for various applications,None,In-house,Engineering,Medium,Potential for collaboration in tablet compression technologies.,High,Research and outreach
Advanced Ceramics Manufacturing,Ceramics and powders,None,In-house,Engineering,Strong,Natoli's products align with the tablet pressing needs of ceramics.,High,Research and outreach
"Ceramic Tech, Inc.",Ceramics and powders,None,In-house,Engineering,Medium,Ceramic Tech's focus on powder compression aligns with Natoli's offerings.,High,Research and outreach
CoorsTek Medical,Medical devices and components,None,CDMO,Engineering|Scientific,Medium,"CoorsTek Medical focuses on medical applications, which may require tablet compression technologies.",High,Research and outreach
Rauschert Industries,Powders and materials for various applications,None,In-house,Engineering,Medium,"Rauschert provides materials that can be compressed into tablets, aligning with Natoli's target market.",High,Research and outreach
"Ceramic Components & Technology, Inc.",Ceramic components and powders,None,In-house,Engineering,Medium,They may require tablet presses for ceramic powder applications.,High,Research and outreach
"Thermal Ceramics, Inc.",Ceramic materials and components,None,In-house,Engineering,Medium,Thermal Ceramics produces materials that may be compressed into tablets or components.,High,Research and outreach
McDanel Advanced Ceramic Technologies,Ceramic powders and composites,None,In-house,Engineering,Medium,Potential for collaboration in tablet and pellet production using advanced ceramics.,High,Research and outreach
"LSP Industrial Ceramics, Inc.",Ceramics and advanced materials,None,In-house,Engineering,Medium,Potential for collaboration in tablet compression technology.,High,Research and outreach
GKN Powder Metallurgy,Metal powders for compaction,None,In-house,Engineering,Medium,"GKN specializes in powder metallurgy, aligning with Natoli's focus on powder compression.",High,Research and outreach
Metco Division of Oerlikon,"Powders into tablets, pellets, or compacts",None,In-house,Engineering,Strong,Metco's expertise in powder processing aligns with Natoli's offerings.,High,Research and outreach
Rio Tinto Metal Powders,Metal powders for various applications,None,In-house,Engineering,Medium,Potential for collaboration in powder compression technology,High,Research and outreach
Sandvik Additive Manufacturing,Powders for 3D printing and additive manufacturing,None,In-house,Engineering|Scientific,Medium,Potential collaboration in powder processing and tablet formulation.,High,Research and outreach
Carpenter Additive,Metal powders for additive manufacturing,None,CDMO,Scientific,Medium,Potential collaboration in powder formulation and processing.,High,Research and outreach
Höganäs AB,Metal powders and composites,None,In-house,Engineering|Scientific,Medium,They produce metal powders suitable for tablet compression.,High,Research and outreach
"Royal Metal Powders, Inc.",Metal powders for tablet compression,None,In-house,Engineering,Strong,Royal Metal Powders provides essential materials for tablet manufacturing.,High,Research and outreach
"US Metal Powders, Inc.",Metal powders for tablet compression,None,In-house,Engineering,Strong,US Metal Powders provides essential materials for tablet manufacturing.,High,Research and outreach
North American Höganäs,"Powders for tablets, pellets, compacts",None,In-house,Engineering,Strong,Complementary products for tablet manufacturing,High,Research and outreach
Makin Metal Powders,Metal powders for tablet compression,None,In-house,Engineering,Strong,Makin Metal Powders provides essential raw materials for tablet production.,High,Research and outreach
LPW Technology Inc.,"Powders into tablets, pellets, or compacts",None,Hybrid,Both,Strong,LPW's technology aligns with Natoli's tablet press and tooling offerings.,High,Research and outreach
"Sumitomo Electric Carbide, Inc.",Carbide tools for powder compression,None,In-house,Engineering,Medium,"Provides tooling for tablet production, relevant to Natoli's market.",High,Research and outreach
Tekna Advanced Materials Inc.,Advanced materials for various applications,None,In-house,Scientific,Medium,Tekna's focus on advanced materials aligns with Natoli's tablet compression needs.,High,Research and outreach
Arnold Magnetic Technologies,"Powders into tablets, pellets, or compacts",None,In-house,Engineering,Strong,Complementary services in powder compression,High,Research and outreach
Quadrant Magnetics,"Powders into tablets, pellets, or compacts",None,CDMO,Engineering,Strong,Quadrant's focus on compression aligns with Natoli's offerings.,High,Research and outreach
"Molycorp, Inc.",Powders for various applications,None,Unknown,NoFit,Weak,"Focus on rare earth materials, not tablet compression.",High,Low priority
Bunting Magnetics Co.,"Powders into tablets, pellets, or compacts",None,Hybrid,Engineering,Strong,Complementary products and services for tablet manufacturing,High,Research and outreach
"Dura Magnetics, Inc.",Powders for tablets and compacts,None,Unknown,Engineering,Medium,Potential collaboration in powder compression technology.,High,Research and outreach
"Magnet Sales & Manufacturing, Inc.","Powders into tablets, pellets, or compacts",None,In-house,Engineering,Strong,"They manufacture equipment for powder compression, aligning with Natoli's offerings.",High,Research and outreach
Integrated Magnetics,Magnets and magnetic components,None,In-house,Engineering,Medium,Potential collaboration in tablet press technology and magnetic applications.,High,Research and outreach
Apex Magnets,Magnets,"Amazon, Walmart, None",Unknown,Scientific,Medium,Potential collaboration in R&D for tablet formulation using magnetic materials.,High,Research and outreach
"Thomas & Skinner, Inc.","Tablets, pellets, compacts",None,Hybrid,Both,Strong,Complementary products and services for tablet manufacturing.,High,Research and outreach
"Applied Materials, Inc.","Tablets, pellets, compacts",None,Hybrid,Engineering,Strong,Applied Materials' technology aligns with Natoli's tablet compression needs.,High,Research and outreach
Broadcom Inc.,"Tablets, pellets, compacts",None,In-house,Engineering,Strong,Broadcom's technology can enhance tablet compression processes.,High,Research and outreach
Texas Instruments Incorporated,Not applicable,None,Unknown,Engineering,Weak,"Texas Instruments focuses on semiconductors, not tablet compression.",High,Low priority
"Micron Technology, Inc.",Powders for tablets and pellets,None,Unknown,Scientific,Medium,Micron's focus on powder processing aligns with Natoli's tablet compression needs.,High,Research and outreach
Qualcomm Incorporated,None,None,Unknown,NoFit,NoFit,"Qualcomm focuses on semiconductors and telecommunications, not tablet compression.",High,Low priority
"Analog Devices, Inc.","Tablets, pellets, compacts",None,Unknown,Engineering,Medium,"Analog Devices focuses on semiconductor solutions, which may indirectly support tablet compression technology.",High,Research and outreach
"Cree, Inc.","Tablets, pellets, compacts",None,Unknown,Engineering,Medium,Potential for collaboration in R&D and manufacturing processes.,High,Research and outreach
"Amkor Technology, Inc.",Semiconductors,None,Unknown,Engineering,Weak,"Focus on semiconductor packaging, limited overlap with tablet compression.",High,Low priority
GlobalFoundries Inc.,"Tablets, pellets, compacts",None,In-house,Both,Strong,GlobalFoundries operates in multiple industries that require powder compression.,High,Research and outreach
"Qorvo, Inc.",Powders for tablets and pellets,None,Unknown,NoFit,Weak,"Qorvo focuses on semiconductor solutions, not tablet compression.",High,Low priority
Marvell Technology Group Ltd.,Not applicable,None,Unknown,NoFit,NoFit,"Marvell focuses on semiconductor technology, not tablet compression.",High,Low priority
"Teradyne, Inc.","Tablets, pellets, compacts",None,Hybrid,Engineering,Strong,Teradyne's technology supports various industries that require precision in powder compression.,High,Research and outreach
Orbital ATK,"Tablets, pellets, compacts",None,In-house,Engineering,Medium,Potential for collaboration in tablet compression technology.,High,Research and outreach
Aerojet Rocketdyne,Propellants|Explosives,None,In-house,Engineering,Weak,Focus on aerospace propulsion rather than tablet compression.,High,Low priority
Chemring Energetics,Explosives and munitions,None,In-house,Engineering,Medium,Potential need for tablet presses in explosive formulations.,High,Research and outreach
Dyno Nobel,Explosives,None,In-house,Engineering,Weak,"Focus on explosives, not tablet compression.",High,Low priority
Pacific Scientific Energetic Materials Company,Energetic materials,None,In-house,Scientific,Medium,Potential need for tablet presses in material formulation.,High,Research and outreach
Ensign-Bickford Aerospace & Defense Company,Explosives and munitions,None,In-house,Engineering,Weak,"Focus on defense and aerospace, limited overlap with tablet compression.",High,Low priority
Austin Powder Company,Explosives and related materials,None,In-house,Engineering,Medium,Focus on powder compression aligns with Natoli's offerings.,High,Research and outreach
Hodgdon Powder Company,Gunpowder and related products,None,In-house,NoFit,Medium,"Hodgdon specializes in explosives, which may require different compression technologies.",High,Research and outreach
St. Marks Powder,Powders for tablets and pellets,None,In-house,Engineering,Strong,"St. Marks Powder compresses various powders, aligning with Natoli's offerings.",High,Research and outreach
American Ordnance,"Tablets, pellets, compacts",None,In-house,Engineering,Strong,Specializes in tablet pressing and tooling for various industries.,High,Research and outreach
Estes Industries,"Powders into tablets, pellets, or compacts",None,In-house,Engineering,Strong,"Estes Industries compresses various materials, aligning with Natoli's offerings.",High,Research and outreach
Nammo Talley,"Tablets, pellets, compacts",None,In-house,Engineering,Strong,Complementary products and services for tablet manufacturing,High,Research and outreach
"El Dorado Engineering, Inc.","Powders into tablets, pellets, or compacts",None,CDMO,Engineering,Strong,"El Dorado specializes in engineering solutions for powder compression, aligning with Natoli's offerings.",High,Research and outreach
Vista Outdoor Inc.,"Ammunition, Outdoor Equipment","Amazon,Walmart,Target",In-house,NoFit,Weak,"Focus on outdoor products, not tablet compression.",High,Low priority
"Remington Arms Company, LLC",Ammunition components,None,In-house,Engineering,Weak,Focus on ammunition rather than tablet compression.,High,Low priority
Hornady Manufacturing Company,Ammunition,None,In-house,NoFit,Weak,Focus on ammunition rather than tablet compression.,High,Low priority
Federal Premium Ammunition,Ammunition pellets,None,In-house,Engineering,Medium,Potential need for tablet presses in ammunition production.,High,Research and outreach
"Barnes Bullets, LLC",Bullets,None,In-house,Engineering,Medium,"Barnes Bullets compress metal powders for ammunition, aligning with Natoli's tablet press capabilities.",High,Research and outreach
"Nosler, Inc.","Tablets, pellets, compacts",None,Hybrid,Engineering|Scientific,Strong,Provides essential equipment and services for powder compression.,High,Research and outreach
Liberty Ammunition,Ammunition,None,In-house,NoFit,Weak,Focus on ammunition limits alignment with tablet pressing and formulation services.,High,Low priority
Norma Precision Inc.,"Tablets, pellets, compacts",None,In-house,Engineering|Scientific,Strong,Aligns with tablet compression and R&D services.,High,Research and outreach
Winchester Ammunition,Ammunition powders,None,In-house,Engineering,Medium,Uses powder compression for ammunition manufacturing.,High,Research and outreach
Black Hills Ammunition,Ammunition pellets,None,In-house,Engineering,Medium,"They compress powders for ammunition, aligning with Natoli's offerings.",High,Research and outreach
Speer Ammunition,Ammunition pellets,None,In-house,Engineering,Medium,"Speer compresses powders for ammunition, aligning with Natoli's offerings.",High,Research and outreach
CCI Ammunition,Ammunition pellets,None,In-house,Engineering,Medium,Uses compression technology for ammunition production.,High,Research and outreach
PMC Ammunition,Ammunition pellets,None,In-house,Engineering,Medium,"PMC manufactures compressed ammunition, aligning with Natoli's tablet press capabilities.",High,Research and outreach
Fiocchi of America,Ammunition,None,In-house,NoFit,Medium,"Fiocchi focuses on ammunition, which may require compression technology but is not a primary target for Natoli.",High,Research and outreach
"Sellier & Bellot, Inc.","Tablets, pellets, compacts",None,CDMO,Both,Strong,Natoli's offerings align well with Sellier & Bellot's focus on compression technology.,High,Research and outreach
Underwood Ammo,Ammunition,None,In-house,NoFit,Medium,"Underwood Ammo focuses on ammunition, which may require specialized tooling but is not a primary market for tablet presses.",High,Research and outreach
Magtech Ammunition,Ammunition cartridges,None,In-house,Engineering,Medium,Potential for tablet press applications in ammunition production.,High,Research and outreach
Berger Bullets,Bullets,None,In-house,Engineering,Medium,"Berger Bullets compresses materials for ammunition, aligning with Natoli's tablet press capabilities.",High,Research and outreach
Norton Abrasives,Abrasives and related materials,None,In-house,Engineering,Medium,Norton provides materials that can be used in tablet compression processes.,High,Research and outreach
Carborundum Universal Limited,Powders for various applications,None,In-house,Engineering,Medium,Potential for collaboration in powder compression technologies.,High,Research and outreach
Washington Mills,"Powders into tablets, pellets, or compacts",None,In-house,Engineering,Strong,Complementary services in powder compression,High,Research and outreach
Weiler Abrasives,Abrasives and grinding products,None,Unknown,Engineering,Medium,Weiler's products may be used in tablet manufacturing processes.,High,Research and outreach
"Flexovit USA, Inc.","Powders into tablets, pellets, or compacts",None,In-house,Engineering,Strong,Natoli's products align with Flexovit's tablet compression needs.,High,Research and outreach
"Klingspor Abrasives, Inc.",Abrasives for tablet compression,None,Unknown,Engineering,Medium,Klingspor provides abrasives that may be used in tablet production processes.,High,Research and outreach
Camel Grinding Wheels,Grinding wheels and tools for powder compression,None,In-house,Engineering,Medium,Camel's products support tablet manufacturing processes.,High,Research and outreach
"Radiac Abrasives, A TYROLIT Company",Abrasives for tablet compression,None,In-house,Engineering,Medium,Potential use of tablet presses for compressing abrasive materials.,High,Research and outreach
Sungold Abrasives,Abrasives and related materials,None,In-house,Engineering,Medium,Sungold's products may complement Natoli's tooling for tablet presses.,High,Research and outreach
SIA Abrasives,"Tablets, pellets, compacts",None,In-house,Engineering,Strong,Complementary products and services for tablet manufacturing,High,Research and outreach
Pearl Abrasive Co.,Abrasives and related materials,None,Unknown,Both,Medium,Pearl's products support various industries that utilize tablet compression.,High,Research and outreach
"ARC Abrasives, Inc.",Abrasives and related materials,None,Unknown,Engineering,Medium,ARC provides abrasives that may be used in tablet compression processes.,High,Research and outreach
Merit Abrasives,Abrasives for tablet compression,None,In-house,Engineering,Medium,Merit provides abrasives that may be used in tablet production processes.,High,Research and outreach
"Grier Abrasive Co., Inc.",Abrasives and related materials,None,Unknown,Engineering,Medium,Potential for collaboration in tablet compression applications.,High,Research and outreach
Hermes Abrasives Ltd,Abrasives for tablet compression,None,In-house,Engineering,Medium,They provide abrasives used in tablet manufacturing processes.,High,Research and outreach
Rex-Cut Abrasives,Abrasives for tablet compression,None,Unknown,Engineering,Medium,Rex-Cut provides abrasives that may be used in tablet production processes.,High,Research and outreach
Estée Lauder Companies Inc.,Cosmetic tablets/pellets,"Amazon,Walmart,CVS,Target",In-house,Scientific,Medium,Estée Lauder may use tablet presses for cosmetic formulations.,High,Research and outreach
"Revlon, Inc.","Cosmetic tablets, powders","Amazon,Walmart,CVS,Target",In-house,Both,Medium,"Revlon compresses powders for cosmetic products, aligning with Natoli's offerings.",High,Research and outreach
Coty Inc.,Cosmetics and personal care products,"Amazon,Walmart,CVS,Target",In-house,Scientific,Medium,"Coty compresses powders for cosmetics, aligning with Natoli's tablet press offerings.",High,Research and outreach
Mary Kay Inc.,Cosmetic tablets and powders,"Amazon,Walmart,CVS,Target",In-house,Scientific,Medium,Potential need for tablet compression in cosmetic formulations.,High,Research and outreach
Urban Decay Cosmetics,Cosmetic powders,"Amazon,Walmart,CVS,Target",In-house,Both,Medium,Uses compressed powders for cosmetics.,High,Research and outreach
"Bare Escentuals, Inc.",Cosmetic powders,"Amazon,Walmart,CVS,Target",In-house,Scientific,Medium,Uses powder compression for cosmetic products.,High,Research and outreach
Tarte Cosmetics,Cosmetic powders,"Amazon,Walmart,CVS,Target",In-house,Scientific,Medium,Potential need for tablet presses for cosmetic formulations.,High,Research and outreach
Anastasia Beverly Hills,Cosmetic powders,"Amazon,Walmart,CVS,Target",In-house,Scientific,Medium,Uses compressed powders for cosmetics.,High,Research and outreach
Too Faced Cosmetics,Cosmetic powders,"Amazon,Walmart,CVS,Target",In-house,Both,Medium,They may require tablet presses for compacting powders in cosmetics.,High,Research and outreach
MAC Cosmetics,Cosmetic powders,"Amazon,Walmart,CVS,Target",In-house,Both,Medium,MAC Cosmetics compresses powders for makeup products.,High,Research and outreach
e.l.f. Cosmetics,Cosmetic tablets and powders,"Amazon,Walmart,CVS,Target",In-house,Both,Medium,Potential need for tablet presses for cosmetic formulations.,High,Research and outreach
Smashbox Cosmetics,Cosmetic powders,"Amazon,Walmart,CVS,Target",In-house,Both,Medium,They may require tablet presses for compacting powders in cosmetic formulations.,High,Research and outreach
NYX Professional Makeup,Cosmetic powders,"Amazon,Walmart,CVS,Target",In-house,Both,Medium,Uses tablet presses for compacting powders in cosmetics.,High,Research and outreach
Kylie Cosmetics,Cosmetic powders,"Amazon,Walmart,CVS,Target",In-house,Scientific,Medium,Potential need for tablet presses for cosmetic formulations.,High,Research and outreach
Juvia's Place,Cosmetic powders,"Amazon,Walmart,Target",In-house,Both,Medium,Uses compressed powders for cosmetic products.,High,Research and outreach
ColourPop Cosmetics,Cosmetic powders,"Amazon,Walmart,Target",In-house,Scientific,Medium,"ColourPop uses compressed powders for cosmetics, aligning with Natoli's offerings.",High,Research and outreach
Milani Cosmetics,Cosmetic tablets and powders,"Amazon,Walmart,CVS,Target",In-house,Both,Strong,"Milani Cosmetics compresses powders for cosmetic products, aligning well with Natoli's offerings.",High,Research and outreach
