Company,Product Type,Retail Presence,Manufacturing Model,Division,Natoli Fit,Fit Reason,Confidence,Next Steps
BH Cosmetics,Cosmetic powders,"Amazon,Walmart,CVS,Target",In-house,NoFit,Weak,"Focus on cosmetics, not tablet compression.",High,Low priority
IT Cosmetics,Cosmetic products,"Amazon,Walmart,CVS,Target",In-house,NoFit,Weak,"Focus on cosmetics, not tablet compression.",High,Low priority
ICL Specialty Fertilizers,Fertilizers,None,Unknown,Both,Medium,Potential for tablet press use in fertilizer production.,High,Research and outreach
Jobe's Company,Tablets|Pellets|Compacts,None,In-house,Both,Strong,"Jobe's Company compresses powders, aligning with Natoli's offerings.",High,Research and outreach
Scotts Miracle-Gro,Fertilizers|Plant Nutrients,"Amazon,Walmart,Target",In-house,NoFit,Medium,"Focus on consumer gardening products, not tablet compression.",High,Research and outreach
Florikan,Fertilizers|Soil Amendments,None,In-house,Scientific,Medium,Florikan's focus on powder formulations aligns with Natoli's tablet compression services.,High,Research and outreach
BioGreen USA,Plant-based powders,None,In-house,Both,Strong,BioGreen's focus on compressing plant materials aligns with Natoli's tablet press offerings.,High,Research and outreach
"Andersons, Inc.","Powders into tablets, pellets, or compacts",None,Hybrid,Both,Strong,Andersons' focus on powder compression aligns well with Natoli's offerings.,High,Research and outreach
Gowan Company,"Powders for tablets, pellets, or compacts",None,In-house,Both,Strong,Gowan's focus on powder compression aligns with Natoli's offerings.,High,Research and outreach
Growcentia,"Powders into tablets, pellets, or compacts",None,In-house,Both,Strong,Growcentia's focus on powder compression aligns with Natoli's offerings.,High,Research and outreach
Hawthorne Gardening Company,Plant nutrients and growing media,"Amazon,Walmart",In-house,Scientific,Medium,They may require tablet presses for nutrient formulations.,High,Research and outreach
Winfield United,Powders for agricultural and consumer products,None,In-house,Both,Medium,Potential for tablet compression in agricultural formulations,High,Research and outreach
"GreenSoil, Inc.",Powders for tablets and pellets,None,CDMO,Both,Strong,GreenSoil's focus on powder compression aligns well with Natoli's offerings.,High,Research and outreach
Floraplex,"Tablets, pellets, compacts",None,CDMO,Both,Strong,Floraplex's focus on powder compression aligns well with Natoli's offerings.,High,Research and outreach
Nature Safe Fertilizers,Fertilizers,None,In-house,Engineering,Medium,Potential use of tablet presses for fertilizer formulation.,High,Research and outreach
Ferti Technologies,"Powders into tablets, pellets, or compacts",None,Hybrid,Both,Strong,"Ferti Technologies targets multiple industries that require powder compression, aligning well with Natoli's offerings.",High,Research and outreach
The Espoma Company,Organic fertilizers and soil amendments,None,In-house,NoFit,Medium,"Espoma focuses on organic products, which may require different processing than traditional tablet compression.",High,Research and outreach
Helena Agri-Enterprises,"Agricultural products, fertilizers",None,In-house,Scientific,Medium,Potential need for tablet presses in fertilizer formulation.,High,Research and outreach
Agrium Advanced Technologies,Fertilizers,None,In-house,Scientific,Medium,Potential for tablet formulation in agricultural products.,High,Research and outreach
Piramal Pharma Solutions,"Pharmaceuticals, Nutraceuticals",None,CDMO,Scientific,Strong,"Piramal specializes in pharmaceutical development and manufacturing, aligning with Natoli's tablet compression services.",High,Research and outreach
Recro Gainesville,Tablets|Pellets|Compacts,None,CDMO,Both,Strong,"Recro specializes in tablet formulation and production, aligning with Natoli's offerings.",High,Research and outreach
Metrics Contract Services,"Tablets, pellets, compacts",None,CDMO,Both,Strong,"Metrics provides comprehensive services for tablet compression, aligning well with Natoli's offerings.",High,Research and outreach
DPT Laboratories,"Tablets, pellets, compacts",None,CDMO,Scientific,Strong,"DPT specializes in tablet formulation and manufacturing, aligning with Natoli's offerings.",High,Research and outreach
Avista Pharma Solutions,"Tablets, pellets, compacts",None,CDMO,Scientific,Strong,Avista's focus on formulation R&D aligns with Natoli's tablet compression solutions.,High,Research and outreach
Olon Ricerca Bioscience,Pharmaceutical compounds,None,CDMO,Scientific,Strong,"Olon specializes in drug development and manufacturing, aligning with Natoli's tablet compression solutions.",High,Research and outreach
"Ash Stevens, LLC",Pharmaceutical compounds,None,CDMO,Scientific,Strong,They require tablet presses and tooling for drug formulation.,High,Research and outreach
Xcelience,"Tablets, pellets, compacts",None,CDMO,Both,Strong,Xcelience's focus on R&D and tablet compression aligns well with Natoli's offerings.,High,Research and outreach
Norwich Pharma Services,"Tablets, pellets, compacts",None,CDMO,Scientific,Strong,They provide R&D services for tablet formulation.,High,Research and outreach
Particle Testing Authority,"Tablets, pellets, compacts",None,CDMO,Scientific,Strong,Complementary services for tablet formulation and testing.,High,Research and outreach
Brookfield Engineering,"Powders into tablets, pellets, or compacts",None,In-house,Engineering,Strong,Complementary products and services for tablet manufacturing,High,Research and outreach
"Retsch, Inc.","Powders into tablets, pellets, or compacts",None,In-house,Scientific,Strong,"Retsch provides essential equipment for powder compression, aligning with Natoli's offerings.",High,Research and outreach
"Q Laboratories, Inc.","Tablets, pellets, compacts",None,CDMO,Both,Strong,"Q Laboratories provides essential services for companies compressing powders, aligning well with Natoli's offerings.",High,Research and outreach
Particle Technology Labs,"Powders for tablets, pellets, and compacts",None,CDMO,Scientific,Strong,Complementary services in powder compression and formulation R&D.,High,Research and outreach
"Merit Laboratories, Inc.",Pharmaceuticals and Nutraceuticals,None,CDMO,Scientific,Strong,"Merit specializes in formulation and testing, aligning with Natoli's tablet compression focus.",High,Research and outreach
Pine Environmental Services,Powders,None,Hybrid,Both,Strong,"Pine serves diverse industries that require powder compression, aligning well with Natoli's offerings.",High,Research and outreach
EAG Laboratories,"Tablets, pellets, compacts",None,CDMO,Scientific,Strong,EAG's focus on R&D aligns with Natoli's tablet compression needs.,High,Research and outreach
Acorda Therapeutics,Tablets,None,In-house,Scientific,Strong,Acorda develops therapies that require tablet formulation and compression.,High,Research and outreach
Athenex Pharma Solutions,Pharmaceuticals|Nutraceuticals,None,CDMO,Scientific,Strong,"Athenex specializes in drug development and manufacturing, aligning with Natoli's tablet compression solutions.",High,Research and outreach
Fagron Sterile Services US,Pharmaceuticals and sterile compounds,None,CDMO,Scientific,Strong,"Fagron specializes in sterile compounding, aligning with Natoli's tablet compression services.",High,Research and outreach
QuVa Pharma,"Tablets, pellets, compacts",None,CDMO,Both,Strong,"QuVa Pharma compresses powders into tablets, aligning with Natoli's offerings.",High,Research and outreach
Central Admixture Pharmacy Services (CAPS),Pharmaceutical preparations,None,CDMO,Scientific,Strong,"CAPS specializes in compounding and preparing medications, aligning with Natoli's tablet compression services.",High,Research and outreach
PharMEDium Services,Pharmaceutical preparations,None,CDMO,Scientific,Strong,"PharMEDium specializes in compounding and manufacturing, aligning well with Natoli's tablet compression equipment.",High,Research and outreach
Edge Pharma,"Tablets, pellets, compacts",None,CDMO,Both,Strong,Edge Pharma targets companies that require tablet compression and related services.,High,Research and outreach
Olympia Compounding Pharmacy,Compounded medications,None,In-house,Scientific,Medium,They compress powders for custom formulations.,High,Research and outreach
Avella Specialty Pharmacy,Pharmaceuticals,None,In-house,Scientific,Medium,"Avella specializes in compounding medications, which may require tablet compression.",High,Research and outreach
Triad Isotopes,Radioactive isotopes for medical applications,None,In-house,Scientific,Medium,Potential need for tablet compression in radiopharmaceuticals.,High,Research and outreach
"CPS Solutions, LLC",Powders for tablets and pellets,None,CDMO,Both,Strong,"CPS Solutions specializes in powder compression, aligning with Natoli's offerings.",High,Research and outreach
"Advanced Pharma, Inc.","tablets, pellets, compacts",None,CDMO,Both,Strong,Natoli's products align with Advanced Pharma's tablet compression needs.,High,Research and outreach
Pentec Health,Pharmaceuticals,None,CDMO,Scientific,Strong,"Pentec Health focuses on pharmaceutical products, aligning with Natoli's tablet compression services.",High,Research and outreach
US Compounding,"Tablets, pellets, compacts",None,CDMO,Both,Strong,Natoli's products align with US Compounding's tablet compression needs.,High,Research and outreach
Ajinomoto Bio-Pharma Services,Pharmaceuticals and biologics,None,CDMO,Scientific,Strong,They provide contract development and manufacturing services for tablet formulations.,High,Research and outreach
Velesco Pharma,Pharmaceutical formulations,None,CDMO,Scientific,Strong,"Velesco Pharma specializes in formulation development, aligning with Natoli's tablet compression services.",High,Research and outreach
Noramco,"Tablets, pellets, compacts",None,CDMO,Both,Strong,Noramco's focus on R&D and tablet compression aligns well with Natoli's offerings.,High,Research and outreach
Formex LLC,"Tablets, pellets, compacts",None,In-house,Both,Strong,"Formex targets a wide range of industries that require powder compression, aligning well with Natoli's offerings.",High,Research and outreach
Bend Research,"Powders into tablets, pellets, or compacts",None,CDMO,Scientific,Strong,"Bend Research specializes in formulation R&D, aligning with Natoli's target market.",High,Research and outreach
"Aurobindo Pharma USA, Inc.","Tablets, pellets",None,In-house,Both,Strong,"Aurobindo manufactures tablets, aligning with Natoli's offerings.",High,Research and outreach
GlaxoSmithKline USA,Pharmaceutical tablets and pellets,None,In-house,Both,Strong,GSK requires tablet presses and tooling for their pharmaceutical products.,High,Research and outreach
"GNC Holdings, Inc.","Tablets, pellets, compacts","Amazon,Walmart,CVS,Target",In-house,Both,Strong,"GNC manufactures dietary supplements in tablet form, aligning with Natoli's offerings.",High,Research and outreach
NOW Foods,"Nutritional supplements, vitamins, and herbal products","Amazon,Walmart,CVS,Target",In-house,Both,Strong,"NOW Foods compresses powders into tablets, aligning with Natoli's offerings.",High,Research and outreach
The Nature's Bounty Co.,"Tablets, pellets, compacts","Amazon,Walmart,CVS,Target",In-house,Both,Strong,They manufacture dietary supplements that require tablet compression.,High,Research and outreach
Vital Nutrients,Nutritional supplements,None,In-house,Both,Strong,Vital Nutrients requires tablet presses and tooling for their supplement production.,High,Research and outreach
"Nutrisystem, Inc.","Tablets, pellets, compacts",None,In-house,Engineering,Strong,Nutrisystem's focus on tablet formulation aligns with Natoli's offerings.,High,Research and outreach
"Metagenics, Inc.","Nutraceuticals, dietary supplements","Amazon,Walmart,CVS,Target",In-house,Scientific,Strong,"Metagenics compresses powders into tablets, aligning with Natoli's offerings.",High,Research and outreach
Bodybuilding.com,Nutritional supplements,"Amazon,Walmart,CVS,Target",Hybrid,NoFit,Medium,Focus on retail and consumer products rather than manufacturing equipment.,High,Research and outreach
Garden of Life,Vitamins|Supplements|Herbal Products,"Amazon,Walmart,CVS,Target",In-house,Scientific,Strong,"Garden of Life produces compressed supplements, aligning with Natoli's tablet press offerings.",High,Research and outreach
MegaFood,Vitamins|Supplements,"Amazon,Walmart,CVS,Target",In-house,Both,Strong,"MegaFood compresses powders into tablets, aligning with Natoli's offerings.",High,Research and outreach
Nature Made,Vitamins and dietary supplements,"Amazon,Walmart,CVS,Target",In-house,Both,Strong,"Nature Made produces tablets, aligning with Natoli's offerings.",High,Research and outreach
The Vitamin Shoppe,Vitamins and dietary supplements,"Amazon,Walmart,CVS,Target",In-house,Scientific,Medium,They produce tablets and supplements requiring compression.,High,Research and outreach
Solgar Inc.,"Tablets, pellets, compacts","Amazon,Walmart,CVS,Target",Hybrid,Both,Strong,Solgar's focus on compressing powders aligns with Natoli's offerings.,High,Research and outreach
NutraScience Labs,"Tablets, pellets, compacts",None,CDMO,Both,Strong,"NutraScience Labs targets companies that require tablet compression services, aligning well with Natoli's offerings.",High,Research and outreach
Vitafusion,Vitamins and supplements,"Amazon,Walmart,CVS,Target",In-house,Both,Strong,"Vitafusion produces compressed vitamin products, aligning with Natoli's tablet press offerings.",High,Research and outreach
Nature's Bounty,Vitamins and dietary supplements,"Amazon,Walmart,CVS,Target",In-house,Both,Strong,"Nature's Bounty compresses powders into tablets, aligning with Natoli's offerings.",High,Research and outreach
Vitabiotics USA,"Dietary supplements, vitamins, and minerals","Amazon,Walmart,CVS,Target",CDMO,Both,Strong,"They manufacture tablets and supplements, aligning with Natoli's offerings.",High,Research and outreach
Douglas Laboratories,"Tablets, pellets, compacts",None,CDMO,Both,Strong,"Douglas Laboratories compresses powders, aligning with Natoli's offerings.",High,Research and outreach
Natures Plus,"Tablets, pellets, compacts",None,Hybrid,Engineering|Scientific,Strong,Complementary services in tablet manufacturing,High,Research and outreach
"Rexall Sundown, Inc.",Vitamins and dietary supplements,"Amazon,Walmart,CVS,Target",In-house,Both,Strong,"Rexall Sundown compresses powders into tablets, aligning with Natoli's offerings.",High,Research and outreach
"21st Century HealthCare, Inc.","Tablets, pellets, compacts",None,In-house,Both,Strong,They require tablet presses and tooling for their products.,High,Research and outreach
Hasa Inc.,"Powders into tablets, pellets, or compacts",None,Hybrid,Both,Strong,Hasa's services align with Natoli's tablet press and tooling offerings.,High,Research and outreach
Clearon Corp.,"Tablets, pellets, compacts",None,In-house,Engineering,Strong,"Clearon targets diverse industries that require powder compression, aligning with Natoli's offerings.",High,Research and outreach
Kuehne Company,"Tablets, pellets, compacts",None,CDMO,Both,Strong,Kuehne's focus on compression aligns with Natoli's offerings.,High,Research and outreach
"Axiall, a Westlake Company",Chemicals|Plastics,None,In-house,Engineering,Weak,Focus on chemical production rather than tablet compression.,High,Low priority
NC Brands L.P.,"Tablets, pellets, compacts",None,Hybrid,Both,Strong,Natoli's offerings align with NC Brands' need for tablet compression solutions.,High,Research and outreach
"Haviland Enterprises, Inc.","Powders into tablets, pellets, or compacts",None,CDMO,Both,Strong,Haviland's focus on powder compression aligns well with Natoli's offerings.,High,Research and outreach
Solenis LLC,Powders for tablet and pellet compression,None,Hybrid,Both,Medium,Solenis provides solutions relevant to industries that utilize tablet compression.,High,Research and outreach
"Arch Chemicals, Inc.",Chemicals and formulations,None,CDMO,Scientific,Medium,Potential collaboration in R&D for tablet formulation.,High,Research and outreach
Robarb,"Powders into tablets, pellets, or compacts",None,In-house,Both,Strong,Robarb's focus on powder compression aligns with Natoli's offerings.,High,Research and outreach
PuriChem,"Powders into tablets, pellets, or compacts",None,CDMO,Both,Strong,PuriChem's services align with Natoli's offerings for tablet compression.,High,Research and outreach
"Taylor Technologies, Inc.","Tablets, pellets, compacts",None,In-house,Engineering,Strong,Complementary products and services for tablet manufacturing.,High,Research and outreach
Procter & Gamble,"Tablets, pellets, personal care products","Amazon,Walmart,CVS,Target",In-house,Both,Strong,P&G compresses powders for various consumer and pharmaceutical products.,High,Research and outreach
Ecolab Inc.,Powders for various applications,None,In-house,Both,Medium,Ecolab provides solutions for various industries that may require tablet compression.,High,Research and outreach
"Church & Dwight Co., Inc.","Tablets, Pellets","Amazon,Walmart,CVS,Target",In-house,Both,Strong,They produce consumer products that require tablet compression.,High,Research and outreach
Colgate-Palmolive Company,"Tablets, powders","Amazon,Walmart,CVS,Target",In-house,Both,Medium,Colgate-Palmolive compresses powders for oral care products.,High,Research and outreach
Clorox Company,"Cleaning products, disinfecting wipes, and other consumer goods","Amazon,Walmart,CVS,Target",In-house,NoFit,Weak,Clorox primarily focuses on consumer goods rather than tablet compression.,High,Low priority
Kao USA Inc.,Powders for tablets and pellets,None,In-house,Both,Strong,Kao's focus on powder formulations aligns with Natoli's offerings.,High,Research and outreach
Monument Chemical,"Powders into tablets, pellets, or compacts",None,CDMO,Both,Strong,Monument Chemical's focus on powder processing aligns well with Natoli's offerings.,High,Research and outreach
"Liberty Industries, Inc.","Tablets, pellets, compacts",None,Hybrid,Both,Strong,Liberty's focus on powder compression aligns with Natoli's offerings.,High,Research and outreach
Zep Inc.,"Tablets, pellets, compacts",None,In-house,Engineering,Strong,"Zep Inc. provides essential equipment for powder compression, aligning with Natoli's offerings.",High,Research and outreach
Puracy,"Powders into tablets, pellets, or compacts",None,CDMO,Both,Strong,Puracy's focus on R&D aligns with Natoli's tablet press and tooling offerings.,High,Research and outreach
Ecover,"Tablets, pellets, compacts",None,CDMO,Both,Strong,Ecover's focus on compressing powders aligns well with Natoli's offerings.,High,Research and outreach
WD-40 Company,Aerosol lubricants and maintenance products,"Amazon,Walmart,CVS,Target",In-house,NoFit,Weak,"Focus on maintenance products, not tablet compression.",High,Low priority
Simple Green,"Tablets, pellets, compacts",None,In-house,Engineering,Strong,Simple Green's products align with Natoli's tablet compression needs.,High,Research and outreach
"Jelmar, LLC",Cleaning products,"Amazon,Walmart,CVS,Target",In-house,NoFit,Weak,"Focus on cleaning products, not tablet compression.",High,Low priority
Arm & Hammer,"Baking soda, cleaning products, personal care items","Amazon,Walmart,CVS,Target",In-house,Both,Medium,Uses tablet compression in product formulations.,High,Research and outreach
The Libman Company,Cleaning products,"Amazon,Walmart,Target",In-house,NoFit,Weak,"Focus on cleaning products, not tablet compression.",High,Low priority
"GOJO Industries, Inc.",Hand sanitizers and soaps,"Amazon,Walmart,CVS,Target",In-house,NoFit,Weak,"GOJO focuses on liquid products, not tablet compression.",High,Low priority
Green Works,"Tablets, pellets, compacts",None,Hybrid,Both,Strong,"Green Works targets a wide range of industries that require powder compression, aligning with Natoli's offerings.",High,Research and outreach
Biokleen,Cleaning products,"Amazon,Walmart,Target",In-house,Scientific,Medium,Potential for tablet form cleaning products aligns with Natoli's offerings.,High,Research and outreach
Lemi Shine,Cleaning products,"Amazon,Walmart,CVS,Target",In-house,NoFit,Weak,"Focus on cleaning products, not tablet compression.",High,Low priority
Sun & Earth,"Tablets, pellets, compacts",None,In-house,Both,Strong,"Sun & Earth compresses powders, aligning with Natoli's offerings.",High,Research and outreach
Lysol (Reckitt Benckiser),Disinfectant tablets,"Amazon,Walmart,CVS,Target",In-house,Both,Medium,Lysol produces disinfectant products that may require tablet compression technology.,High,Research and outreach
Finish (Reckitt Benckiser),"Tablets, pellets","Amazon,Walmart,CVS,Target",In-house,Both,Strong,"Finish produces tablet forms, aligning with Natoli's offerings.",High,Research and outreach
BioClean Environmental Services,Environmental solutions and services,None,Unknown,NoFit,Weak,Focus on environmental services rather than tablet compression.,High,Low priority
RID-X,"Powders into tablets, pellets, or compacts",None,In-house,Both,Strong,"RID-X targets multiple industries that require tablet compression, aligning well with Natoli's offerings.",High,Research and outreach
Green Gobbler,Cleaning products,"Amazon,Walmart,Target",In-house,NoFit,Medium,"Green Gobbler focuses on consumer cleaning products, not tablet compression.",High,Research and outreach
"Roebic Laboratories, Inc.",Wastewater treatment products,None,In-house,Scientific,Weak,"Focus on wastewater treatment, not tablet compression.",High,Low priority
Septic-Flow,"Powders for tablets, pellets, compacts",None,Hybrid,Both,Strong,Natoli's products align with Septic-Flow's compression needs.,High,Research and outreach
Septic-Scrub,Septic treatment products,None,In-house,Both,Medium,Septic-Scrub may require tablet presses for product formulation.,High,Research and outreach
Bio-Sol,Powders for tablets and pellets,None,In-house,Both,Strong,Bio-Sol's focus on powder compression aligns well with Natoli's offerings.,High,Research and outreach
Pro-Pump,Powders,None,Unknown,Engineering,Strong,Pro-Pump's focus on powder compression aligns well with Natoli's tablet press offerings.,High,Research and outreach
Septic Seep,Septic treatment products,None,In-house,Scientific,Medium,Potential for tablet compression in septic solutions.,High,Research and outreach
Enviro-Tab,"Tablets, pellets, compacts",None,In-house,Engineering,Strong,"Enviro-Tab targets companies that require compression technology, aligning with Natoli's offerings.",High,Research and outreach
Septic Maxx,Septic treatments,None,In-house,Scientific,Medium,Potential need for tablet presses for septic product formulations.,High,Research and outreach
Enzymes by Bio-Solutions,Enzymes,None,In-house,Scientific,Medium,"Enzymes are often compressed into tablets, aligning with Natoli's offerings.",High,Research and outreach
Septic Safe,Septic treatment products,"Amazon,Walmart",In-house,Scientific,Medium,Potential need for tablet compression in product formulation.,High,Research and outreach
Eco-Septic Solutions,Septic treatment products,None,Unknown,NoFit,Weak,"Focus on septic solutions, not tablet compression.",High,Low priority
Septic Doctor,Septic system products,None,Unknown,NoFit,Weak,"Focus on septic systems, not tablet compression.",High,Low priority
Septic Tech,"Tablets, pellets, compacts",None,In-house,Engineering,Strong,Specializes in tablet pressing and tooling for various industries.,High,Research and outreach
Clearstream,"Tablets, pellets, compacts",None,CDMO,Both,Strong,Clearstream's focus on compression aligns with Natoli's offerings.,High,Research and outreach
Septic Genie,Septic systems components,None,In-house,NoFit,Weak,"Focus on septic systems, not tablet compression.",Medium,Low priority
Septic Relief,Powders for tablets,None,In-house,Both,Strong,Septic Relief compresses powders for various applications.,High,Research and outreach
EcoSafe Labs,"Tablets, pellets, compacts",None,CDMO,Both,Strong,EcoSafe Labs requires advanced tablet pressing technology for their formulations.,High,Research and outreach
GreenEarth Cleaning,Cleaning products,"Amazon,Walmart,Target",Unknown,NoFit,Weak,"Focus on cleaning products, not tablet compression.",Medium,Low priority
BioClean Solutions,Powders for tablets and pellets,None,In-house,Both,Strong,"BioClean compresses powders, aligning with Natoli's offerings.",High,Research and outreach
"Diversey, Inc.","Tablets, pellets, compacts",None,In-house,Both,Strong,Diversey serves multiple industries that require powder compression.,High,Research and outreach
Caldrea Company,Household cleaning products,"Amazon,Walmart,CVS,Target",In-house,NoFit,Weak,"Focus on cleaning products, not tablet compression.",High,Low priority
Blueland,"Tablets, pellets, compacts",None,In-house,Both,Strong,Blueland's focus on compression aligns with Natoli's offerings.,High,Research and outreach
Truce Clean,Powders for tablets and pellets,None,In-house,Both,Strong,Truce Clean's focus on compression aligns with Natoli's offerings.,High,Research and outreach
"EcoSMART Technologies, Inc.","Powders into tablets, pellets, compacts",None,CDMO,Both,Strong,Aligns with tablet compression and R&D services.,High,Research and outreach
"S.C. Johnson & Son, Inc.",Household products,"Amazon,Walmart,CVS,Target",In-house,NoFit,Weak,"Focus on consumer goods, not tablet compression.",High,Low priority
Scrubbing Bubbles,Cleaning tablets,"Amazon,Walmart,CVS,Target",In-house,NoFit,Medium,"Focus on cleaning products, not tablet compression.",Medium,Research and outreach
Cascade,Tablets|Pellets|Compacts,None,CDMO,Both,Strong,Cascade's focus on compression aligns with Natoli's offerings.,High,Research and outreach
CLR Brands,"Tablets, pellets, compacts",None,CDMO,Both,Strong,"CLR Brands targets a wide range of industries that utilize tablet compression, aligning well with Natoli's offerings.",High,Research and outreach
CBDfx,CBD products,"Amazon,Walmart,CVS,Target",Hybrid,Both,Medium,"CBDfx compresses powders for tablets and gummies, aligning with Natoli's offerings.",High,Research and outreach
Medterra,CBD tablets and capsules,"Amazon, CVS",In-house,Both,Strong,"Medterra compresses powders into tablets, aligning with Natoli's offerings.",High,Research and outreach
Veritas Farms,Cannabis products,None,Hybrid,Scientific,Medium,Potential need for tablet presses in cannabis product formulation.,High,Research and outreach
CBD American Shaman,CBD products,"Amazon,Walmart,CVS,Target",In-house,Scientific,Medium,They may require tablet presses for CBD formulations.,High,Research and outreach
Diamond CBD,"CBD products, edibles","Amazon, Walmart, CVS",Hybrid,Both,Strong,"Diamond CBD compresses powders into tablets and edibles, aligning with Natoli's offerings.",High,Research and outreach
Joy Organics,CBD products,"Amazon, CVS",In-house,Scientific,Medium,Potential for tablet compression in CBD formulations.,High,Research and outreach
CBDistillery,CBD products,"Amazon, CVS, None",Hybrid,Scientific,Medium,CBDistillery requires tablet presses for product formulation.,High,Research and outreach
Hemp Bombs,CBD products and other herbal supplements,"Amazon,Walmart,CVS,Target",In-house,Both,Strong,Hemp Bombs compresses powders for various CBD formulations.,High,Research and outreach
PureKana,CBD products,"Amazon, CVS, Target",Hybrid,Scientific,Medium,Potential for tablet compression in CBD formulations.,High,Research and outreach
Elixinol,Hemp-derived products,"Amazon, CVS",In-house,Scientific,Medium,Elixinol produces hemp products that may require tablet compression.,High,Research and outreach
Lord Jones,Tablets,Amazon,In-house,Both,Medium,Potential need for tablet presses and tooling in cannabis product formulation.,High,Research and outreach
Kanibi,"Tablets, pellets, compacts",None,In-house,Both,Strong,Kanibi's focus on compression aligns with Natoli's offerings.,High,Research and outreach
FAB CBD,CBD tablets and gummies,"Amazon, CVS",In-house,Both,Strong,"FAB CBD compresses powders into tablets, aligning with Natoli's offerings.",High,Research and outreach
Populum,"Tablets, pellets, compacts",None,Hybrid,Both,Strong,Populum's focus on compressing powders aligns with Natoli's offerings.,High,Research and outreach
Infinite CBD,CBD tablets and formulations,None,CDMO,Scientific,Strong,Both companies focus on tablet formulation and production.,High,Research and outreach
Rainbow Light,Vitamins and dietary supplements,"Amazon,Walmart,CVS,Target",In-house,Scientific,Strong,"Rainbow Light compresses powders into tablets, aligning with Natoli's offerings.",High,Research and outreach
NBTY Inc.,"Tablets, pellets, compacts",None,In-house,Engineering,Strong,Specializes in tablet pressing and tooling for various industries.,High,Research and outreach
Optimum Nutrition,"Nutritional supplements, protein powders","Amazon,Walmart,CVS,Target",In-house,Scientific,Strong,"They produce tablets and powders, aligning with Natoli's offerings.",High,Research and outreach
NutraClick LLC,"Powders into tablets, pellets, or compacts",None,CDMO,Both,Strong,NutraClick's focus on tablet formulation aligns with Natoli's offerings.,High,Research and outreach
Vibrant Health,"Nutritional supplements, herbal tablets","Amazon,Walmart,CVS",In-house,Both,Strong,Vibrant Health's focus on tablet formulation aligns with Natoli's offerings.,High,Research and outreach
