Company,Industry,Tier,Division,Fit,Territory,City,State,Country,Contacts,Tier1 Reason
Corning Incorporated,Advanced Ceramics,Tier 1,Natoli Engineering,Tooling,Southeast,Roanoke,Virginia,United States,596,Advanced ceramics producer with powder compaction for technical ceramic parts.
Oak Ridge National Laboratory,Nuclear Fuel,Tier 1,Natoli Engineering,Tooling,Southeast,Oak Ridge,Tennessee,United States,145,Nuclear fuel fabrication with precision pellet pressing for fuel rod assembly.
GSK,Pharmaceutical,Tier 1,Natoli Scientific,Formulation,Southeast,London,North Carolina,United States,120,"Major pharmaceutical manufacturer with tablet compression operations. Natoli eliminates sticking, picking, and capping issues during high-volume production."
BWX Technologies (BWXT),Nuclear & Energy,Tier 1,Natoli Engineering,Tooling,Southeast,Lynchburg,Virginia,United States,98,Nuclear fuel fabrication with precision pellet pressing for fuel rod assembly.
Axalta,Battery Manufacturing,Tier 1,Natoli Engineering,Tooling,Southeast,Stephens City,Virginia,United States,97,Battery electrode manufacturer with cathode/anode compaction for cell production.
Catalent,CDMO/CMO,Tier 1,Natoli Scientific,Formulation,Southeast,Tampa,Florida,United States,81,Contract development and manufacturing organization serving pharma clients with tablet production.
X-energy (Triso-X),Nuclear & Energy,Tier 1,Natoli Engineering,Tooling,Southeast,Rockville,Maryland,United States,32,Nuclear fuel fabrication with precision pellet pressing for fuel rod assembly.
"CORERX, INC.",Pharmaceutical,Tier 1,Natoli Scientific,Formulation,Southeast,Clearwater,Florida,United States,26,"Major pharmaceutical manufacturer with tablet compression operations. Natoli eliminates sticking, picking, and capping issues during high-volume production."
GKN Powder Metallurgy,Powder Metallurgy,Tier 1,Natoli Engineering,Tooling,Southeast,,Tennessee,United Kingdom,26,PM parts producer with metal powder compaction for precision components.
"DEERLAND PROBIOTICS & ENZYMES, INC.",Nutraceutical,Tier 1,Natoli Scientific,Formulation,Southeast,Kennesaw,Georgia,United States,20,Nutraceutical/supplement manufacturer with verified tablet and capsule production needs.
SOCIETAL,CDMO/CMO,Tier 1,Natoli Scientific,Formulation,Southeast,Gainesville,Georgia,United States,20,Contract development and manufacturing organization serving pharma clients with tablet production.
"ECI PHARMACEUTICALS, LLC",Pharmaceutical,Tier 1,Natoli Scientific,Formulation,Southeast,Port Saint Lucie,Florida,United States,17,"Major pharmaceutical manufacturer with tablet compression operations. Natoli eliminates sticking, picking, and capping issues during high-volume production."
Aavis Pharmaceuticals,Pharmaceutical,Tier 1,Natoli Scientific,Formulation,Southeast,Hoschton,Georgia,United States,15,"Major pharmaceutical manufacturer with tablet compression operations. Natoli eliminates sticking, picking, and capping issues during high-volume production."
NUTRITION FORMULATORS INC.,Nutraceutical,Tier 1,Natoli Scientific,Formulation,Southeast,Miramar,Florida,United States,15,Nutraceutical/supplement manufacturer with verified tablet and capsule production needs.
Alcami Corporation,CDMO,Tier 1,Natoli Scientific,Formulation,Southeast,Wilmington,North Carolina,United States,14,Contract development and manufacturing organization serving pharma clients with tablet production.
Thermo Fisher Scientific (Patheon),CDMO/CMO,Tier 1,Natoli Scientific,Formulation,Southeast,Durham,North Carolina,United States,13,Contract development and manufacturing organization serving pharma clients with tablet production.
ADARE PHARMACEUTICALS INC,Pharmaceutical,Tier 1,Natoli Scientific,Formulation,Southeast,Birmingham,Alabama,United States,13,"Major pharmaceutical manufacturer with tablet compression operations. Natoli eliminates sticking, picking, and capping issues during high-volume production."
Absolute Pharmacy,Pharmaceutical,Tier 1,Natoli Scientific,Formulation,Southeast,Lutz,Florida,United States,11,"Major pharmaceutical manufacturer with tablet compression operations. Natoli eliminates sticking, picking, and capping issues during high-volume production."
APG PHARMACY,Pharmaceutical,Tier 1,Natoli Scientific,Formulation,Southeast,Palm Harbor,Florida,United States,11,"Major pharmaceutical manufacturer with tablet compression operations. Natoli eliminates sticking, picking, and capping issues during high-volume production."
NUTRI-FORCE NUTRITION,Nutraceutical,Tier 1,Natoli Scientific,Formulation,Southeast,Miami Lakes,Florida,United States,11,Nutraceutical/supplement manufacturer with verified tablet and capsule production needs.
"ACCURATE ENERGETIC SYSTEMS, LLC",Defense & Energetics,Tier 1,Natoli Engineering,Tooling,Southeast,McEwen,Tennessee,United States,10,Defense/energetics manufacturer with propellant or explosive pressing operations.
"SOLARA, INC.",Battery & Energy,Tier 1,Natoli Engineering,Tooling,Southeast,Hialeah,Florida,United States,10,Battery electrode manufacturer with cathode/anode compaction for cell production.
"FLORIDA SUPPLEMENT, LLC",Nutraceutical,Tier 1,Natoli Scientific,Formulation,Southeast,Miramar,Florida,United States,9,Nutraceutical/supplement manufacturer with verified tablet and capsule production needs.
PHARMATECH LLC.,Pharmaceutical,Tier 1,Natoli Scientific,Formulation,Southeast,Davie,Florida,United States,8,"Major pharmaceutical manufacturer with tablet compression operations. Natoli eliminates sticking, picking, and capping issues during high-volume production."
USPHARMA LTD,Pharmaceutical,Tier 1,Natoli Scientific,Formulation,Southeast,Miami Lakes,Florida,United States,8,"Major pharmaceutical manufacturer with tablet compression operations. Natoli eliminates sticking, picking, and capping issues during high-volume production."
General Dynamics Ordnance & Tactical Systems,Defense & Energetics,Tier 1,Natoli Engineering,Tooling,Southeast,St. Petersburg,Florida,United States,7,Defense/energetics manufacturer with propellant or explosive pressing operations.
"Acella Pharmaceuticals, LLC",Pharmaceutical,Tier 1,Natoli Scientific,Formulation,Southeast,Alpharetta,Georgia,United States,7,"Major pharmaceutical manufacturer with tablet compression operations. Natoli eliminates sticking, picking, and capping issues during high-volume production."
LGM Pharma,Pharmaceutical,Tier 1,Natoli Scientific,Formulation,Southeast,Boca Raton,Florida,United States,7,"Major pharmaceutical manufacturer with tablet compression operations. Natoli eliminates sticking, picking, and capping issues during high-volume production."
Olympia Pharmaceuticals,Pharmaceutical,Tier 1,Natoli Scientific,Formulation,Southeast,Orlando,Florida,United States,7,"Major pharmaceutical manufacturer with tablet compression operations. Natoli eliminates sticking, picking, and capping issues during high-volume production."
WELLS PHARMACY NETWORK,Pharmaceutical,Tier 1,Natoli Scientific,Formulation,Southeast,Wellington,Florida,United States,7,"Major pharmaceutical manufacturer with tablet compression operations. Natoli eliminates sticking, picking, and capping issues during high-volume production."
CAMERON PHARMACEUTICALS,Pharmaceutical,Tier 1,Natoli Scientific,Formulation,Southeast,Louisville,Kentucky,United States,6,"Major pharmaceutical manufacturer with tablet compression operations. Natoli eliminates sticking, picking, and capping issues during high-volume production."
HI-TECH PHARMACEUTICALS,Pharmaceutical,Tier 1,Natoli Scientific,Formulation,Southeast,Norcross,Georgia,United States,6,"Major pharmaceutical manufacturer with tablet compression operations. Natoli eliminates sticking, picking, and capping issues during high-volume production."
HOYE'S PHARMACY,Pharmaceutical,Tier 1,Natoli Scientific,Formulation,Southeast,Tampa,Florida,United States,6,"Major pharmaceutical manufacturer with tablet compression operations. Natoli eliminates sticking, picking, and capping issues during high-volume production."
"UPM PHARMACEUTICALS, INC.",Pharmaceutical,Tier 1,Natoli Scientific,Formulation,Southeast,,Florida,,6,"Major pharmaceutical manufacturer with tablet compression operations. Natoli eliminates sticking, picking, and capping issues during high-volume production."
BAE Systems (Radford Plant),Defense & Energetics,Tier 1,Natoli Engineering,Tooling,Southeast,Radford,Virginia,United States,5,Defense/energetics manufacturer with propellant or explosive pressing operations.
AMERICHEM PHARMACEUTICAL CORP.,Pharmaceutical,Tier 1,Natoli Scientific,Formulation,Southeast,Doral,Florida,United States,5,"Major pharmaceutical manufacturer with tablet compression operations. Natoli eliminates sticking, picking, and capping issues during high-volume production."
BIRZEIT PHARMACEUTICALS,Pharmaceutical,Tier 1,Natoli Scientific,Formulation,Southeast,Florence,South Carolina,United States,5,"Major pharmaceutical manufacturer with tablet compression operations. Natoli eliminates sticking, picking, and capping issues during high-volume production."
Catalyst Nutraceuticals,Nutraceutical,Tier 1,Natoli Scientific,Formulation,Southeast,Buford,Georgia,United States,5,Nutraceutical/supplement manufacturer with verified tablet and capsule production needs.
MURTY PHARMACEUTICAL,Pharmaceutical,Tier 1,Natoli Scientific,Formulation,Southeast,Lexington,Kentucky,United States,5,"Major pharmaceutical manufacturer with tablet compression operations. Natoli eliminates sticking, picking, and capping issues during high-volume production."
NORAX SUPPLEMENTS LLC,Nutraceutical,Tier 1,Natoli Scientific,Formulation,Southeast,Cedartown,Georgia,United States,5,Nutraceutical/supplement manufacturer with verified tablet and capsule production needs.
PIEDMONT PHARMACEUTICALS,Pharmaceutical,Tier 1,Natoli Scientific,Formulation,Southeast,Greensboro,North Carolina,United States,5,"Major pharmaceutical manufacturer with tablet compression operations. Natoli eliminates sticking, picking, and capping issues during high-volume production."
PLD Pharma Services,Pharmaceutical,Tier 1,Natoli Scientific,Formulation,Southeast,Miami,Florida,United States,5,"Major pharmaceutical manufacturer with tablet compression operations. Natoli eliminates sticking, picking, and capping issues during high-volume production."
ASTERIA HEALTH,Pharmaceutical,Tier 1,Natoli Scientific,Formulation,Southeast,Birmingham,Alabama,United States,5,"Major pharmaceutical manufacturer with tablet compression operations. Natoli eliminates sticking, picking, and capping issues during high-volume production."
BOSTON BIOPHARMA INC.,Pharmaceutical,Tier 1,Natoli Scientific,Formulation,Southeast,Alpharetta,Georgia,United States,5,"Major pharmaceutical manufacturer with tablet compression operations. Natoli eliminates sticking, picking, and capping issues during high-volume production."
"ADAM NUTRITION, INC.",Confectionery,Tier 1,Natoli Engineering,Tooling,Southeast,Greenville,South Carolina,United States,5,Candy/mint manufacturer with high-volume tablet pressing operations.
Westinghouse Electric Company,Nuclear & Energy,Tier 1,Natoli Engineering,Tooling,Southeast,Cranberry Township,Pennsylvania,United States,4,Nuclear fuel fabrication with precision pellet pressing for fuel rod assembly.
Piramal Pharma Solutions,Pharmaceutical,Tier 1,Natoli Scientific,Formulation,Southeast,Lexington,Kentucky,United States,4,"Major pharmaceutical manufacturer with tablet compression operations. Natoli eliminates sticking, picking, and capping issues during high-volume production."
AVANTI NUTRITIONAL LABORATORIES,Nutraceutical,Tier 1,Natoli Scientific,Formulation,Southeast,Hialeah,Florida,United States,4,Nutraceutical/supplement manufacturer with verified tablet and capsule production needs.
BRAVADO PHARMACEUTICALS,Pharmaceutical,Tier 1,Natoli Scientific,Formulation,Southeast,Lutz,Florida,United States,4,"Major pharmaceutical manufacturer with tablet compression operations. Natoli eliminates sticking, picking, and capping issues during high-volume production."
COMPLETE PHARMACY & MEDICAL SOL.,Pharmaceutical,Tier 1,Natoli Scientific,Formulation,Southeast,Miami Lakes,Florida,United States,4,"Major pharmaceutical manufacturer with tablet compression operations. Natoli eliminates sticking, picking, and capping issues during high-volume production."
OXFORD PHARMACEUTICALS,Pharmaceutical,Tier 1,Natoli Scientific,Formulation,Southeast,Birmingham,Alabama,United States,4,"Major pharmaceutical manufacturer with tablet compression operations. Natoli eliminates sticking, picking, and capping issues during high-volume production."
"PHARMA NATURAL, INC",Pharmaceutical,Tier 1,Natoli Scientific,Formulation,Southeast,Miami Lakes,Florida,United States,4,"Major pharmaceutical manufacturer with tablet compression operations. Natoli eliminates sticking, picking, and capping issues during high-volume production."
SOLUTIONS PHARMACY,Pharmaceutical,Tier 1,Natoli Scientific,Formulation,Southeast,Ooltewah,Tennessee,United States,4,"Major pharmaceutical manufacturer with tablet compression operations. Natoli eliminates sticking, picking, and capping issues during high-volume production."
"MEDIPHARMA, INC.",Pharmaceutical,Tier 1,Natoli Scientific,Formulation,Southeast,Miami,Florida,United States,4,"Major pharmaceutical manufacturer with tablet compression operations. Natoli eliminates sticking, picking, and capping issues during high-volume production."
Nature's Way,Nutraceutical,Tier 1,Natoli Scientific,Formulation,Southeast,Saint Augustine,Florida,United States,4,Nutraceutical/supplement manufacturer with verified tablet and capsule production needs.
Premium Label & Packaging Solutions,Pharmaceutical,Tier 1,Natoli Scientific,Formulation,Southeast,High Point,North Carolina,United States,4,"Major pharmaceutical manufacturer with tablet compression operations. Natoli eliminates sticking, picking, and capping issues during high-volume production."
AMTEC LESS-LETHAL SYSTEMS,Defense & Energetics,Tier 1,Natoli Engineering,Tooling,Southeast,Perry,Florida,United States,3,Defense/energetics manufacturer with propellant or explosive pressing operations.
PF LLC,Veterinary Pharma,Tier 1,Natoli Scientific,Formulation,Southeast,Melbourne,Florida,United States,3,Veterinary pharmaceutical manufacturer with animal health tablet production.
REVELATION PHARMA LLC,Pharmaceutical,Tier 1,Natoli Scientific,Formulation,Southeast,Kennesaw,Georgia,United States,3,"Major pharmaceutical manufacturer with tablet compression operations. Natoli eliminates sticking, picking, and capping issues during high-volume production."
SMP Nutra,Nutraceutical,Tier 1,Natoli Scientific,Formulation,Southeast,,Florida,,3,Nutraceutical/supplement manufacturer with verified tablet and capsule production needs.
"CERNO PHARMACEUTICALS, LLC.",Pharmaceutical,Tier 1,Natoli Scientific,Formulation,Southeast,Hialeah,Florida,United States,3,"Major pharmaceutical manufacturer with tablet compression operations. Natoli eliminates sticking, picking, and capping issues during high-volume production."
IM HealthScience,Pharmaceutical,Tier 1,Natoli Scientific,Formulation,Southeast,Boca Raton,Florida,United States,3,"Major pharmaceutical manufacturer with tablet compression operations. Natoli eliminates sticking, picking, and capping issues during high-volume production."
Velocity Medical Solutions,Pharmaceutical,Tier 1,Natoli Scientific,Formulation,Southeast,Atlanta,Georgia,United States,3,"Major pharmaceutical manufacturer with tablet compression operations. Natoli eliminates sticking, picking, and capping issues during high-volume production."
Atkinson Candy Company,Confectionery,Tier 1,Natoli Engineering,Tooling,Southeast,Lufkin,Texas,United States,3,Candy/mint manufacturer with high-volume tablet pressing operations.
FASTENAL COMPANY,Nutraceutical,Tier 1,Natoli Scientific,Formulation,Southeast,White Hall,Arkansas,United States,3,Nutraceutical/supplement manufacturer with verified tablet and capsule production needs.
ALSA MANUFACTURING LLC,Pharmaceutical,Tier 1,Natoli Scientific,Formulation,Southeast,,Florida,,2,"Major pharmaceutical manufacturer with tablet compression operations. Natoli eliminates sticking, picking, and capping issues during high-volume production."
CosmoCare Pharmaceuticals,Pharmaceutical,Tier 1,Natoli Scientific,Formulation,Southeast,Hanson,Kentucky,United States,2,"Major pharmaceutical manufacturer with tablet compression operations. Natoli eliminates sticking, picking, and capping issues during high-volume production."
DESIGNER DRUGS PHARMACY,Pharmaceutical,Tier 1,Natoli Scientific,Formulation,Southeast,Chattanooga,Tennessee,United States,2,"Major pharmaceutical manufacturer with tablet compression operations. Natoli eliminates sticking, picking, and capping issues during high-volume production."
"ENCO PHARMACEUTICAL DEVELOPMENT, INC",Pharmaceutical,Tier 1,Natoli Scientific,Formulation,Southeast,Jacksonville,Florida,United States,2,"Major pharmaceutical manufacturer with tablet compression operations. Natoli eliminates sticking, picking, and capping issues during high-volume production."
"HI-TECH NUTRACEUTICALS, LLC",Nutraceutical,Tier 1,Natoli Scientific,Formulation,Southeast,,Georgia,,2,Nutraceutical/supplement manufacturer with verified tablet and capsule production needs.
LIQUID CAPSULE MANUFACTURING LLC,Pharmaceutical,Tier 1,Natoli Scientific,Formulation,Southeast,Tampa,Florida,United States,2,"Major pharmaceutical manufacturer with tablet compression operations. Natoli eliminates sticking, picking, and capping issues during high-volume production."
MILLENIUM NATURAL HEALTH PROD.,Nutraceutical,Tier 1,Natoli Scientific,Formulation,Southeast,,Florida,,2,Nutraceutical/supplement manufacturer with verified tablet and capsule production needs.
NutraSweet,Nutraceutical,Tier 1,Natoli Scientific,Formulation,Southeast,Augusta,Georgia,United States,2,Nutraceutical/supplement manufacturer with verified tablet and capsule production needs.
VTV THERAPEUTICS LLC,Pharmaceutical,Tier 1,Natoli Scientific,Formulation,Southeast,High Point,North Carolina,United States,2,"Major pharmaceutical manufacturer with tablet compression operations. Natoli eliminates sticking, picking, and capping issues during high-volume production."
BETA PHARMACEUTICAL CORP.,Pharmaceutical,Tier 1,Natoli Scientific,Formulation,Southeast,Davie,Florida,United States,2,"Major pharmaceutical manufacturer with tablet compression operations. Natoli eliminates sticking, picking, and capping issues during high-volume production."
Brace Pharma Capital,Pharmaceutical,Tier 1,Natoli Scientific,Formulation,Southeast,Atlanta,Georgia,United States,2,"Major pharmaceutical manufacturer with tablet compression operations. Natoli eliminates sticking, picking, and capping issues during high-volume production."
Callan Pharma Services,Pharmaceutical,Tier 1,Natoli Scientific,Formulation,Southeast,Tampa,Florida,United States,2,"Major pharmaceutical manufacturer with tablet compression operations. Natoli eliminates sticking, picking, and capping issues during high-volume production."
Capitol Wellness Solutions,Pharmaceutical,Tier 1,Natoli Scientific,Formulation,Southeast,Baton Rouge,Louisiana,United States,2,"Major pharmaceutical manufacturer with tablet compression operations. Natoli eliminates sticking, picking, and capping issues during high-volume production."
EVERWELL SPECIALTY PHARMACY,Pharmaceutical,Tier 1,Natoli Scientific,Formulation,Southeast,Pensacola,Florida,United States,2,"Major pharmaceutical manufacturer with tablet compression operations. Natoli eliminates sticking, picking, and capping issues during high-volume production."
JUNGLE JIM'S PHARMACY,Pharmaceutical,Tier 1,Natoli Scientific,Formulation,Southeast,Southgate,Kentucky,United States,2,"Major pharmaceutical manufacturer with tablet compression operations. Natoli eliminates sticking, picking, and capping issues during high-volume production."
Melt Pharmaceuticals,Pharmaceutical,Tier 1,Natoli Scientific,Formulation,Southeast,Brentwood,Tennessee,United States,2,"Major pharmaceutical manufacturer with tablet compression operations. Natoli eliminates sticking, picking, and capping issues during high-volume production."
MILLENIUM NATURAL HEALTH PRODU,Pharmaceutical,Tier 1,Natoli Scientific,Formulation,Southeast,Miami,Florida,United States,2,"Major pharmaceutical manufacturer with tablet compression operations. Natoli eliminates sticking, picking, and capping issues during high-volume production."
RAPHA HEALTH NETWORK INTERNATIONAL INC.,Pharmaceutical,Tier 1,Natoli Scientific,Formulation,Southeast,Doral,Florida,United States,2,"Major pharmaceutical manufacturer with tablet compression operations. Natoli eliminates sticking, picking, and capping issues during high-volume production."
"SJ PHARMACEUTICALS, L.L.C.",Pharmaceutical,Tier 1,Natoli Scientific,Formulation,Southeast,Atlanta,Georgia,United States,2,"Major pharmaceutical manufacturer with tablet compression operations. Natoli eliminates sticking, picking, and capping issues during high-volume production."
THE PHARMACY HUB,Pharmaceutical,Tier 1,Natoli Scientific,Formulation,Southeast,Miami,Florida,United States,2,"Major pharmaceutical manufacturer with tablet compression operations. Natoli eliminates sticking, picking, and capping issues during high-volume production."
ULTRAMAR,Nutraceutical,Tier 1,Natoli Scientific,Formulation,Southeast,Miami,Florida,United States,2,Nutraceutical/supplement manufacturer with verified tablet and capsule production needs.
"VOLUNTEER BOTANICALS, LLC",Nutraceutical,Tier 1,Natoli Scientific,Formulation,Southeast,Tullahoma,Tennessee,United States,2,Nutraceutical/supplement manufacturer with verified tablet and capsule production needs.
