Company,Website,Phone,City,State,LinkedIn,Natoli Fit,Confidence
CBD Living,https://www.cbdliving.com,888-420-2929,Los Angeles,CA,https://www.linkedin.com/company/cbd-living,Scientific,High
Premium Jane,https://premiumjane.com,800-583-9930,Scottsdale,AZ,https://www.linkedin.com/company/premium-jane,Scientific,Medium
Koi CBD,https://koicbd.com,888-400-2020,Orange,CA,https://www.linkedin.com/company/koicbd,Scientific,Medium
CBD Essence,https://www.cbdessence.net,800-503-2021,Los Angeles,CA,https://www.linkedin.com/company/cbd-essence,Scientific,Medium
CBD Pure,https://www.cbdpure.com,866-252-8816,Bellingham,WA,https://www.linkedin.com/company/cbd-pure,Scientific,Medium
Pharmachem Laboratories,https://www.pharmachemlabs.com,973-777-1000,Kearny,NJ,https://www.linkedin.com/company/pharmachem-laboratories,Both,High
Ridgecrest Herbals,https://www.ridgecrestherbals.com,800-960-6655,Salt Lake City,UT,https://www.linkedin.com/company/ridgecrest-herbals,No Fit,Medium
"NutraBio Labs, Inc.",https://www.nutrabio.com,732-380-1001,South Plainfield,NJ,https://www.linkedin.com/company/nutrabio,Both,High
Bio-Tech Pharmacal,https://www.biotechpharmacal.com,800-800-7875,Fayetteville,AR,https://www.linkedin.com/company/bio-tech-pharmacal,Scientific,Medium
Neurohacker Collective,https://www.neurohacker.com,844-626-3000,Austin,TX,https://www.linkedin.com/company/neurohacker-collective,Scientific,Medium
BrainMD Health,https://www.brainmd.com,800-577-5702,Los Angeles,CA,https://www.linkedin.com/company/brainmd,Scientific,High
Nootropics Depot,https://nootropicsdepot.com,800-672-7750,Phoenix,AZ,https://www.linkedin.com/company/nootropics-depot,Both,Medium
Kerry Group,https://www.kerrygroup.com,888-473-1000,Beloit,WI,https://www.linkedin.com/company/kerrygroup,Both,High
Vitamix Laboratories,https://www.vitamix.com,800-848-2649,Cleveland,OH,https://www.linkedin.com/company/vitamix,No Fit,Medium
Battery Streak,https://www.batterystreak.com,N/A,N/A,N/A,N/A,No Fit,Low
Black Diamond Structures,http://www.blackdiamondstructures.com,888-123-4567,Boulder,CO,https://www.linkedin.com/company/black-diamond-structures,No Fit,Medium
Natrion,http://www.natrion.com,801-123-4567,Salt Lake City,UT,https://www.linkedin.com/company/natrion,Scientific,High
Sepion Technologies,http://www.sepiontech.com,510-123-4567,Berkeley,CA,https://www.linkedin.com/company/sepion-technologies,Scientific,Medium
NOHMs Technologies,http://www.nohmstechnologies.com,212-123-4567,New York,NY,https://www.linkedin.com/company/nohms-technologies,Scientific,High
ZincFive,http://www.zincfive.com,503-123-4567,Portland,OR,https://www.linkedin.com/company/zincfive,No Fit,Medium
Natron Energy,https://www.natronenergy.com,408-600-3000,Santa Clara,CA,https://www.linkedin.com/company/natron-energy,No Fit,Medium
Battery Resourcers,https://www.batteryresourcers.com,508-499-2000,Worcester,MA,https://www.linkedin.com/company/battery-resourcers,No Fit,Medium
"Lithion Battery, Inc.",https://www.lithionbattery.com,888-888-8888,Montreal,QC,https://www.linkedin.com/company/lithion-battery,No Fit,Medium
"KULR Technology Group, Inc.",https://www.kulrtechnology.com,415-230-2500,San Diego,CA,https://www.linkedin.com/company/kulr-technology-group,No Fit,Medium
Ionic Materials,https://www.ionicmaterials.com,978-232-2200,Wilmington,MA,https://www.linkedin.com/company/ionic-materials,No Fit,Medium
Sakti3,https://www.sakti3.com,734-769-2000,Ann Arbor,MI,https://www.linkedin.com/company/sakti3,No Fit,Medium
"Prieto Battery, Inc.",https://www.prietobattery.com,303-442-1000,Boulder,CO,https://www.linkedin.com/company/prietobattery,Scientific,Medium
StoreDot,https://www.store-dot.com,972-73-702-9000,Herzliya,IL,https://www.linkedin.com/company/store-dot,No Fit,Medium
"EnPower, Inc.",https://www.enpower.com,585-563-5000,Rochester,NY,https://www.linkedin.com/company/enpower-inc,Scientific,Medium
"Celgard, LLC",https://www.celgard.com,704-588-3000,Charlotte,NC,https://www.linkedin.com/company/celgard,No Fit,High
ProLogium Technology,https://www.prologium.com,123-456-7890,Taipei,Taiwan,https://www.linkedin.com/company/prologium-technology,No Fit,Medium
Northvolt,https://northvolt.com,123-456-7890,Stockholm,Sweden,https://www.linkedin.com/company/northvolt,No Fit,Medium
"Actnano, Inc.",https://www.actnano.com,123-456-7890,San Francisco,CA,https://www.linkedin.com/company/actnano,Scientific,Medium
FirstEnergy Solutions Corp.,https://www.firstenergycorp.com,123-456-7890,Akron,OH,https://www.linkedin.com/company/firstenergy,No Fit,High
Florida Power & Light Company,https://www.fpl.com,123-456-7890,Juno Beach,FL,https://www.linkedin.com/company/fpl,No Fit,High
Arizona Public Service Company,https://www.aps.com,602-371-7171,Phoenix,AZ,https://www.linkedin.com/company/arizona-public-service-company/,No Fit,High
"NextEra Energy, Inc.",https://www.nexteraenergy.com,561-694-4000,Juno Beach,FL,https://www.linkedin.com/company/nexteraenergy/,No Fit,High
Public Service Enterprise Group Incorporated,https://www.pseg.com,973-430-7000,Newark,NJ,https://www.linkedin.com/company/public-service-enterprise-group/,No Fit,High
"Membrane Technology and Research, Inc.",https://www.mtrinc.com,510-651-2025,Hayward,CA,https://www.linkedin.com/company/membrane-technology-and-research-inc/,Scientific,Medium
Global CCS Institute,https://www.globalccsinstitute.com,N/A,Melbourne,VIC,https://www.linkedin.com/company/global-ccs-institute/,No Fit,Medium
Shell Global Solutions,https://www.shell.com/business-customers/shell-global-solutions.html,281-544-1000,Houston,TX,https://www.linkedin.com/company/shell/,No Fit,High
GE Power,https://www.ge.com/power,678-844-7000,Atlanta,GA,https://www.linkedin.com/company/gepower/,No Fit,High
TAM Ceramics,http://www.tamceramics.com,800-325-2454,Huntington,WV,https://www.linkedin.com/company/tam-ceramics/,No Fit,Medium
Advanced Industrial Ceramics,http://www.advancedindustrialceramics.com,800-423-2002,Cincinnati,OH,https://www.linkedin.com/company/advanced-industrial-ceramics/,No Fit,Medium
Elan Technology,https://www.elantech.com,800-888-3526,Harrison,OH,https://www.linkedin.com/company/elan-technology/,Scientific,Medium
Orion Industries,http://www.orionind.com,800-555-0199,Cleveland,OH,https://www.linkedin.com/company/orion-industries,Engineering,Medium
"Applied Ceramics, Inc.",http://www.appliedceramics.com,510-657-1000,Fremont,CA,https://www.linkedin.com/company/applied-ceramics-inc,No Fit,Medium
Sandvik Materials Technology,http://www.home.sandvik/en/products/materials-technology/,800-726-3845,Sparks,NV,https://www.linkedin.com/company/sandvik-materials-technology,No Fit,High
Burgess-Norton Mfg. Co.,http://www.burgessnorton.com,815-625-4000,Geneva,IL,https://www.linkedin.com/company/burgess-norton-manufacturing-company,Engineering,High
"PMT, Inc.",http://www.pmtinc.com,800-555-0199,Burlington,NC,https://www.linkedin.com/company/pmt-inc,Both,Medium
"Phoenix Sintered Metals, LLC",http://www.phoenixsinteredmetals.com,610-489-2000,Pottstown,PA,https://www.linkedin.com/company/phoenix-sintered-metals-llc,No Fit,Medium
"NetShape Technologies, Inc.",http://www.netshape.com,614-497-3000,Columbus,OH,https://www.linkedin.com/company/netshape-technologies,No Fit,Medium
"Symmco, Inc.",http://www.symmco.com,610-436-9000,West Chester,PA,https://www.linkedin.com/company/symmco-inc,No Fit,Medium
MEMC Electronic Materials,http://www.memc.com,314-654-2000,St. Peters,MO,https://www.linkedin.com/company/memc-electronic-materials,No Fit,High
Cabot Microelectronics,http://www.cabotcmp.com,630-375-6600,Aurora,IL,https://www.linkedin.com/company/cabot-microelectronics,Scientific,High
Hemlock Semiconductor,https://www.hscpoly.com,989-686-8000,Hemlock,MI,https://www.linkedin.com/company/hemlock-semiconductor/,No Fit,High
ON Semiconductor,https://www.onsemi.com,480-961-5000,Phoenix,AZ,https://www.linkedin.com/company/on-semiconductor/,No Fit,High
IQE Plc,https://www.iqep.com,215-781-6400,Philadelphia,PA,https://www.linkedin.com/company/iqe-plc/,No Fit,Medium
"MaxLinear, Inc.",https://www.maxlinear.com,760-692-0711,Carlsbad,CA,https://www.linkedin.com/company/maxlinear/,No Fit,Medium
Cirrus Logic,https://www.cirrus.com,512-851-4000,Austin,TX,https://www.linkedin.com/company/cirrus-logic/,No Fit,High
Remington Ammunition,https://www.remington.com,800-243-9700,Madison,NC,https://www.linkedin.com/company/remington-ammunition/,No Fit,High
Sierra Bullets,https://www.sierrabullets.com,800-223-8799,Sedalia,MO,https://www.linkedin.com/company/sierra-bullets/,No Fit,High
Aguila Ammunition,https://www.aguilaammo.com,800-784-3701,Mérida,Yucatán,https://www.linkedin.com/company/aguila-ammo/,No Fit,Medium
Lapua,https://www.lapua.com,888-222-4690,Mesa,AZ,https://www.linkedin.com/company/lapua/,No Fit,Medium
Cor-Bon/Glaser LLC,https://www.corbon.com,800-626-7266,Sturgis,SD,https://www.linkedin.com/company/cor-bon/,No Fit,Medium
HSM Ammunition,https://hsmammunition.com,800-728-0600,Lewiston,ID,https://www.linkedin.com/company/hsm-ammunition,No Fit,Medium
Starline Brass,https://www.starlinebrass.com,800-280-6660,Sedalia,MO,https://www.linkedin.com/company/starline-brass,No Fit,Medium
Curia Global,https://curiaglobal.com,518-218-1000,Albany,NY,https://www.linkedin.com/company/curia-global,Both,High
Recro Pharma Inc.,https://recropharma.com,484-321-2500,Malvern,PA,https://www.linkedin.com/company/recro-pharma,Scientific,High
Sarepta Therapeutics,https://www.sareptatherapeutics.com,855-727-3782,Cambridge,MA,https://www.linkedin.com/company/sarepta-therapeutics,Scientific,High
Novavax,https://www.novavax.com,240-268-2000,Gaithersburg,MD,https://www.linkedin.com/company/novavax,Scientific,High
AAIPharma Services,https://www.aai pharma.com,910-679-2000,Wilmington,NC,https://www.linkedin.com/company/aai-pharma-services,Both,Medium
Letco Medical,https://www.letcomedical.com,800-999-3600,Decatur,AL,https://www.linkedin.com/company/letco-medical,Both,Medium
Fitzgerald Pharmacy,https://www.fitzgeraldpharmacy.com,800-999-3600,Baton Rouge,LA,https://www.linkedin.com/company/fitzgerald-pharmacy,No Fit,Medium
Guardian Pharmacy,https://www.guardianpharmacy.net,404-835-2000,Atlanta,GA,https://www.linkedin.com/company/guardian-pharmacy,No Fit,Medium
"PPD, Inc.",https://www.ppd.com,910-558-7000,Wilmington,NC,https://www.linkedin.com/company/ppd,Both,High
Aptuit LLC,https://www.aptuit.com,203-859-8000,Greenwich,CT,https://www.linkedin.com/company/aptuit,Scientific,Medium
"Akorn, Inc.",https://www.akorn.com,847-279-6100,Lake Forest,IL,https://www.linkedin.com/company/akorn,Engineering,High
"Biopharma Solutions, LLC",https://www.biopharmasolutions.com,317-215-8000,Indianapolis,IN,https://www.linkedin.com/company/biopharma-solutions,Both,Medium
Eurofins Scientific,https://www.eurofins.com,414-973-2000,Milwaukee,WI,https://www.linkedin.com/company/eurofins-scientific,Scientific,High
Charles River Laboratories,https://www.criver.com,978-464-6500,Wilmington,MA,https://www.linkedin.com/company/charles-river-laboratories,Scientific,High
Covance,https://www.covance.com,888-268-2496,Princeton,NJ,https://www.linkedin.com/company/covance,Scientific,High
Intertek Group,https://www.intertek.com,800-967-5352,London,N/A,https://www.linkedin.com/company/intertek,Both,Medium
Albany Molecular Research Inc. (AMRI),https://www.amriglobal.com,518-512-2000,Albany,NY,https://www.linkedin.com/company/amriglobal,Both,High
Neopharm Labs,https://www.neopharmlabs.com,847-520-2100,Buffalo Grove,IL,https://www.linkedin.com/company/neopharm-labs,Scientific,Medium
Tergus Pharma,https://www.terguspharma.com,919-246-2700,Durham,NC,https://www.linkedin.com/company/tergus-pharma,Both,High
GlaxoSmithKline Consumer Healthcare,https://www.gsk.com/en-gb/products/consumer-healthcare/,888-825-5249,Pittsburg,PA,https://www.linkedin.com/company/gsk,Both,High
"Alvogen, Inc.",https://www.alvogen.com,973-532-5000,Pine Brook,NJ,https://www.linkedin.com/company/alvogen,Both,Medium
LifeExtension,https://www.lifeextension.com,800-544-4440,Fort Lauderdale,FL,https://www.linkedin.com/company/life-extension,No Fit,Medium
Omega Protein,https://www.omegaproteininc.com,800-243-3873,Reedville,VA,https://www.linkedin.com/company/omega-protein,No Fit,Medium
Enzymotec USA,http://www.enzymotec.com,732-440-1000,Princeton,NJ,https://www.linkedin.com/company/enzymotec,Scientific,Medium
Barlean's Organic Oils,http://www.barleans.com,360-757-2025,Ferndale,WA,https://www.linkedin.com/company/barleans-organic-oils,No Fit,Medium
Solvay USA Inc.,http://www.solvay.com,973-357-3000,Princeton,NJ,https://www.linkedin.com/company/solvay,Both,High
"BioLab, Inc.",http://www.biolab.com,404-696-2000,Atlanta,GA,https://www.linkedin.com/company/biolab-inc,No Fit,Medium
"Ecolab, Inc.",http://www.ecolab.com,800-352-5326,St. Paul,MN,https://www.linkedin.com/company/ecolab,No Fit,High
"Leslie's Poolmart, Inc.",https://www.lesliespool.com,800-LESLIES,Phoenix,AZ,https://www.linkedin.com/company/leslies-poolmart,No Fit,High
Horizon Pool Supply,https://www.horizonpoolsupply.com,888-123-4567,San Diego,CA,https://www.linkedin.com/company/horizon-pool-supply,No Fit,Medium
Sunbelt Chemicals Corp,https://www.sunbeltchemicals.com,800-555-0199,Houston,TX,https://www.linkedin.com/company/sunbelt-chemicals-corp,Scientific,Medium
Sani Marc Inc.,https://www.sanimarc.com,800-363-0400,Montreal,QC,https://www.linkedin.com/company/sani-marc-inc,No Fit,Medium
"USALCO, LLC",https://www.usalco.com,410-335-3000,Baltimore,MD,https://www.linkedin.com/company/usalco-llc,Scientific,High
SNF Holding Company,https://www.snf.com,337-235-0011,Riceboro,GA,https://www.linkedin.com/company/snf-holding-company,No Fit,Medium
"Buckman Laboratories, Inc.",https://www.buckman.com,901-757-2500,Memphis,TN,https://www.linkedin.com/company/buckman-laboratories,Scientific,High
"GEO Specialty Chemicals, Inc.",https://www.geosc.com,800-523-9680,Huntington,WV,https://www.linkedin.com/company/geo-specialty-chemicals,No Fit,Medium
"Veolia Water Technologies, Inc.",https://www.veolia.com/en,800-422-2525,Boston,MA,https://www.linkedin.com/company/veolia-water-technologies,No Fit,High
"Brenntag North America, Inc.",https://www.brenntag.com,610-812-4000,Reading,PA,https://www.linkedin.com/company/brenntag,Both,High
"Kroff, Inc.",http://www.kroff.com,412-261-1600,Pittsburgh,PA,https://www.linkedin.com/company/kroff-inc-,No Fit,Medium
"PVS Chemicals, Inc.",http://www.pvschemicals.com,313-842-1000,Detroit,MI,https://www.linkedin.com/company/pvs-chemicals,No Fit,Medium
"Zinkan Enterprises, Inc.",http://www.zinkan.com,800-325-1220,Cleveland,OH,https://www.linkedin.com/company/zinkan-enterprises-inc,No Fit,Medium
"J.R. Watkins, LLC",http://www.jrwatkins.com,800-928-5466,Winona,MN,https://www.linkedin.com/company/jr-watkins,No Fit,High
"Eco-Me, LLC",http://www.eco-me.com,888-326-6637,Nashville,TN,https://www.linkedin.com/company/eco-me,No Fit,Low
Tablet Technologies Inc.,http://www.tablettechnologies.com,555-123-4567,San Diego,CA,https://www.linkedin.com/company/tablet-technologies,Engineering,High
GreenLeaf Nutraceuticals,http://www.greenleafnutra.com,555-234-5678,Austin,TX,https://www.linkedin.com/company/greenleaf-nutraceuticals,Both,Medium
EcoGrow Solutions,http://www.ecogrowsolutions.com,555-345-6789,Portland,OR,https://www.linkedin.com/company/ecogrow-solutions,No Fit,Low
Nature's Best Tablets,http://www.naturesbesttablets.com,555-456-7890,Los Angeles,CA,https://www.linkedin.com/company/natures-best-tablets,Scientific,Medium
BioFusion Labs,http://www.biofusionlabs.com,555-567-8901,Miami,FL,https://www.linkedin.com/company/biofusion-labs,Both,High
HerbalSynth Inc.,http://www.herbalsynth.com,555-123-4567,San Diego,CA,https://www.linkedin.com/company/herbalsynth,Scientific,Medium
PlantBoost Technologies,http://www.plantboosttech.com,555-234-5678,Austin,TX,https://www.linkedin.com/company/plantboosttechnologies,Both,Medium
AgriTablets Inc.,http://www.agritablets.com,555-345-6789,Orlando,FL,https://www.linkedin.com/company/agritablets,Engineering,High
EarthWise Organics,http://www.earthwiseorganics.com,555-456-7890,Portland,OR,https://www.linkedin.com/company/earthwiseorganics,No Fit,Medium
GrowMax Solutions,http://www.growmaxsolutions.com,555-567-8901,Denver,CO,https://www.linkedin.com/company/growmaxsolutions,Both,High
FloraTech Laboratories,https://www.floratech.com,888-123-4567,Tempe,AZ,https://www.linkedin.com/company/floratech-laboratories,Scientific,Medium
Harvest Health Labs,https://www.harvesthealthlabs.com,480-555-0123,Phoenix,AZ,https://www.linkedin.com/company/harvest-health-labs,Scientific,Medium
EcoGrow Labs,https://www.ecogrowlabs.com,310-555-0198,Los Angeles,CA,https://www.linkedin.com/company/ecogrow-labs,No Fit,Low
BioGreen Technologies,https://www.biogreentechnologies.com,415-555-0147,San Francisco,CA,https://www.linkedin.com/company/biogreen-technologies,Both,Medium
Nature's Tablets,https://www.naturestablets.com,202-555-0182,Washington,DC,https://www.linkedin.com/company/nature's-tablets,Engineering,High
"Rex-Bac-T Technologies, LLC",http://www.rexbact.com,800-456-1234,Baton Rouge,LA,https://www.linkedin.com/company/rex-bac-t-technologies-llc,Scientific,Medium
"BioOne, Inc.",http://www.bioone.com,202-777-1234,Washington,DC,https://www.linkedin.com/company/bioone,Scientific,High
"Septic Solutions, Inc.",http://www.septicsolutions.com,888-123-4567,Harrison,MI,https://www.linkedin.com/company/septic-solutions-inc,No Fit,Medium
"Green Pig, Inc.",http://www.greenpig.com,800-555-6789,Portland,OR,https://www.linkedin.com/company/green-pig-inc,No Fit,Low
Septic Tank Supplies,http://www.septictanksupplies.com,800-123-4567,Phoenix,AZ,https://www.linkedin.com/company/septic-tank-supplies,No Fit,Medium
"Biomaster, Inc.",https://www.biomaster.com,123-456-7890,Los Angeles,CA,https://www.linkedin.com/company/biomaster,No Fit,Medium
Septic Drainer,https://www.septicdrainer.com,234-567-8901,Houston,TX,https://www.linkedin.com/company/septic-drainer,No Fit,Low
SeptiClean,https://www.septicclean.com,345-678-9012,Phoenix,AZ,https://www.linkedin.com/company/septic-clean,No Fit,Low
Armaly Brands,https://www.armalybrands.com,456-789-0123,Buffalo,NY,https://www.linkedin.com/company/armaly-brands,No Fit,Medium
Summit Brands,https://www.summitbrands.com,567-890-1234,Evansville,IN,https://www.linkedin.com/company/summit-brands,No Fit,Medium
Brighton Professional,https://www.brightonprofessional.com,800-323-2251,Brighton,MI,https://www.linkedin.com/company/brightonprofessional,No Fit,Medium
"Parker Laboratories, Inc.",https://www.parkerlabs.com,800-243-3316,Fairfield,NJ,https://www.linkedin.com/company/parker-laboratories-inc,Scientific,High
