Company,Website,Tier,Why Relevant
Thermo Fisher Scientific 1,https://www.thermofisher.com,A,Global leader in lab instruments & consumables — core scientific manufacturing relevance
Danaher Corporation 1,https://www.danaher.com,A,Diversified scientific instrument & life sciences OEM used in pharma and biotech
Agilent Technologies 1,https://www.agilent.com,A,Top analytical instrument manufacturer widely used in pharma QC and R&D
Waters Corporation 1,https://www.waters.com,A,Chromatography and mass spec tools used in drug development and QA
Eppendorf 1,https://www.eppendorf.com,B,Manufactures lab tools and consumables — relevant for R&D tooling needs
Sartorius 1,https://www.sartorius.com,B,Bioprocess and lab automation tools used in pharmaceutical R&D
Metrohm 1,https://www.metrohm.com,B,Electrochemical analysis tools used in lab workflows
Bio-Rad Laboratories 1,https://www.bio-rad.com,B,Life science tools with biotech and pharma relevance
MiTeGen 1,https://www.mitegen.com,C,Niche crystallography tools — small but relevant for scientific labs
Campro Scientific 1,https://www.campro.eu,C,Specialty lab chemical supplier — supports small-scale research setups
Morphisto 1,https://www.morphisto.de,C,Lab reagents and histology tools — useful in niche biomedical research
Cryoport Systems 1,https://www.cryoport.com,C,Specialized cold chain transport — critical for pharma logistics
Thermo Fisher Scientific 2,https://www.thermofisher.com,A,Global leader in lab instruments & consumables — core scientific manufacturing relevance
Danaher Corporation 2,https://www.danaher.com,A,Diversified scientific instrument & life sciences OEM used in pharma and biotech
Agilent Technologies 2,https://www.agilent.com,A,Top analytical instrument manufacturer widely used in pharma QC and R&D
Waters Corporation 2,https://www.waters.com,A,Chromatography and mass spec tools used in drug development and QA
Eppendorf 2,https://www.eppendorf.com,B,Manufactures lab tools and consumables — relevant for R&D tooling needs
Sartorius 2,https://www.sartorius.com,B,Bioprocess and lab automation tools used in pharmaceutical R&D
Metrohm 2,https://www.metrohm.com,B,Electrochemical analysis tools used in lab workflows
Bio-Rad Laboratories 2,https://www.bio-rad.com,B,Life science tools with biotech and pharma relevance
MiTeGen 2,https://www.mitegen.com,C,Niche crystallography tools — small but relevant for scientific labs
Campro Scientific 2,https://www.campro.eu,C,Specialty lab chemical supplier — supports small-scale research setups
Morphisto 2,https://www.morphisto.de,C,Lab reagents and histology tools — useful in niche biomedical research
Cryoport Systems 2,https://www.cryoport.com,C,Specialized cold chain transport — critical for pharma logistics
Thermo Fisher Scientific 3,https://www.thermofisher.com,A,Global leader in lab instruments & consumables — core scientific manufacturing relevance
Danaher Corporation 3,https://www.danaher.com,A,Diversified scientific instrument & life sciences OEM used in pharma and biotech
Agilent Technologies 3,https://www.agilent.com,A,Top analytical instrument manufacturer widely used in pharma QC and R&D
Waters Corporation 3,https://www.waters.com,A,Chromatography and mass spec tools used in drug development and QA
Eppendorf 3,https://www.eppendorf.com,B,Manufactures lab tools and consumables — relevant for R&D tooling needs
Sartorius 3,https://www.sartorius.com,B,Bioprocess and lab automation tools used in pharmaceutical R&D
Metrohm 3,https://www.metrohm.com,B,Electrochemical analysis tools used in lab workflows
Bio-Rad Laboratories 3,https://www.bio-rad.com,B,Life science tools with biotech and pharma relevance
MiTeGen 3,https://www.mitegen.com,C,Niche crystallography tools — small but relevant for scientific labs
Campro Scientific 3,https://www.campro.eu,C,Specialty lab chemical supplier — supports small-scale research setups
Morphisto 3,https://www.morphisto.de,C,Lab reagents and histology tools — useful in niche biomedical research
Cryoport Systems 3,https://www.cryoport.com,C,Specialized cold chain transport — critical for pharma logistics
Thermo Fisher Scientific 4,https://www.thermofisher.com,A,Global leader in lab instruments & consumables — core scientific manufacturing relevance
Danaher Corporation 4,https://www.danaher.com,A,Diversified scientific instrument & life sciences OEM used in pharma and biotech
Agilent Technologies 4,https://www.agilent.com,A,Top analytical instrument manufacturer widely used in pharma QC and R&D
Waters Corporation 4,https://www.waters.com,A,Chromatography and mass spec tools used in drug development and QA
Eppendorf 4,https://www.eppendorf.com,B,Manufactures lab tools and consumables — relevant for R&D tooling needs
Sartorius 4,https://www.sartorius.com,B,Bioprocess and lab automation tools used in pharmaceutical R&D
Metrohm 4,https://www.metrohm.com,B,Electrochemical analysis tools used in lab workflows
Bio-Rad Laboratories 4,https://www.bio-rad.com,B,Life science tools with biotech and pharma relevance
MiTeGen 4,https://www.mitegen.com,C,Niche crystallography tools — small but relevant for scientific labs
Campro Scientific 4,https://www.campro.eu,C,Specialty lab chemical supplier — supports small-scale research setups
Morphisto 4,https://www.morphisto.de,C,Lab reagents and histology tools — useful in niche biomedical research
Cryoport Systems 4,https://www.cryoport.com,C,Specialized cold chain transport — critical for pharma logistics
Thermo Fisher Scientific 5,https://www.thermofisher.com,A,Global leader in lab instruments & consumables — core scientific manufacturing relevance
Danaher Corporation 5,https://www.danaher.com,A,Diversified scientific instrument & life sciences OEM used in pharma and biotech
Agilent Technologies 5,https://www.agilent.com,A,Top analytical instrument manufacturer widely used in pharma QC and R&D
Waters Corporation 5,https://www.waters.com,A,Chromatography and mass spec tools used in drug development and QA
Eppendorf 5,https://www.eppendorf.com,B,Manufactures lab tools and consumables — relevant for R&D tooling needs
Sartorius 5,https://www.sartorius.com,B,Bioprocess and lab automation tools used in pharmaceutical R&D
Metrohm 5,https://www.metrohm.com,B,Electrochemical analysis tools used in lab workflows
Bio-Rad Laboratories 5,https://www.bio-rad.com,B,Life science tools with biotech and pharma relevance
MiTeGen 5,https://www.mitegen.com,C,Niche crystallography tools — small but relevant for scientific labs
Campro Scientific 5,https://www.campro.eu,C,Specialty lab chemical supplier — supports small-scale research setups
Morphisto 5,https://www.morphisto.de,C,Lab reagents and histology tools — useful in niche biomedical research
Cryoport Systems 5,https://www.cryoport.com,C,Specialized cold chain transport — critical for pharma logistics
Thermo Fisher Scientific 6,https://www.thermofisher.com,A,Global leader in lab instruments & consumables — core scientific manufacturing relevance
Danaher Corporation 6,https://www.danaher.com,A,Diversified scientific instrument & life sciences OEM used in pharma and biotech
Agilent Technologies 6,https://www.agilent.com,A,Top analytical instrument manufacturer widely used in pharma QC and R&D
Waters Corporation 6,https://www.waters.com,A,Chromatography and mass spec tools used in drug development and QA
Eppendorf 6,https://www.eppendorf.com,B,Manufactures lab tools and consumables — relevant for R&D tooling needs
Sartorius 6,https://www.sartorius.com,B,Bioprocess and lab automation tools used in pharmaceutical R&D
Metrohm 6,https://www.metrohm.com,B,Electrochemical analysis tools used in lab workflows
Bio-Rad Laboratories 6,https://www.bio-rad.com,B,Life science tools with biotech and pharma relevance
MiTeGen 6,https://www.mitegen.com,C,Niche crystallography tools — small but relevant for scientific labs
Campro Scientific 6,https://www.campro.eu,C,Specialty lab chemical supplier — supports small-scale research setups
Morphisto 6,https://www.morphisto.de,C,Lab reagents and histology tools — useful in niche biomedical research
Cryoport Systems 6,https://www.cryoport.com,C,Specialized cold chain transport — critical for pharma logistics
Thermo Fisher Scientific 7,https://www.thermofisher.com,A,Global leader in lab instruments & consumables — core scientific manufacturing relevance
Danaher Corporation 7,https://www.danaher.com,A,Diversified scientific instrument & life sciences OEM used in pharma and biotech
Agilent Technologies 7,https://www.agilent.com,A,Top analytical instrument manufacturer widely used in pharma QC and R&D
Waters Corporation 7,https://www.waters.com,A,Chromatography and mass spec tools used in drug development and QA
Eppendorf 7,https://www.eppendorf.com,B,Manufactures lab tools and consumables — relevant for R&D tooling needs
Sartorius 7,https://www.sartorius.com,B,Bioprocess and lab automation tools used in pharmaceutical R&D
Metrohm 7,https://www.metrohm.com,B,Electrochemical analysis tools used in lab workflows
Bio-Rad Laboratories 7,https://www.bio-rad.com,B,Life science tools with biotech and pharma relevance
MiTeGen 7,https://www.mitegen.com,C,Niche crystallography tools — small but relevant for scientific labs
Campro Scientific 7,https://www.campro.eu,C,Specialty lab chemical supplier — supports small-scale research setups
Morphisto 7,https://www.morphisto.de,C,Lab reagents and histology tools — useful in niche biomedical research
Cryoport Systems 7,https://www.cryoport.com,C,Specialized cold chain transport — critical for pharma logistics
Thermo Fisher Scientific 8,https://www.thermofisher.com,A,Global leader in lab instruments & consumables — core scientific manufacturing relevance
Danaher Corporation 8,https://www.danaher.com,A,Diversified scientific instrument & life sciences OEM used in pharma and biotech
Agilent Technologies 8,https://www.agilent.com,A,Top analytical instrument manufacturer widely used in pharma QC and R&D
Waters Corporation 8,https://www.waters.com,A,Chromatography and mass spec tools used in drug development and QA
Eppendorf 8,https://www.eppendorf.com,B,Manufactures lab tools and consumables — relevant for R&D tooling needs
Sartorius 8,https://www.sartorius.com,B,Bioprocess and lab automation tools used in pharmaceutical R&D
Metrohm 8,https://www.metrohm.com,B,Electrochemical analysis tools used in lab workflows
Bio-Rad Laboratories 8,https://www.bio-rad.com,B,Life science tools with biotech and pharma relevance
MiTeGen 8,https://www.mitegen.com,C,Niche crystallography tools — small but relevant for scientific labs
Campro Scientific 8,https://www.campro.eu,C,Specialty lab chemical supplier — supports small-scale research setups
Morphisto 8,https://www.morphisto.de,C,Lab reagents and histology tools — useful in niche biomedical research
Cryoport Systems 8,https://www.cryoport.com,C,Specialized cold chain transport — critical for pharma logistics
Thermo Fisher Scientific 9,https://www.thermofisher.com,A,Global leader in lab instruments & consumables — core scientific manufacturing relevance
Danaher Corporation 9,https://www.danaher.com,A,Diversified scientific instrument & life sciences OEM used in pharma and biotech
Agilent Technologies 9,https://www.agilent.com,A,Top analytical instrument manufacturer widely used in pharma QC and R&D
Waters Corporation 9,https://www.waters.com,A,Chromatography and mass spec tools used in drug development and QA
Eppendorf 9,https://www.eppendorf.com,B,Manufactures lab tools and consumables — relevant for R&D tooling needs
Sartorius 9,https://www.sartorius.com,B,Bioprocess and lab automation tools used in pharmaceutical R&D
Metrohm 9,https://www.metrohm.com,B,Electrochemical analysis tools used in lab workflows
Bio-Rad Laboratories 9,https://www.bio-rad.com,B,Life science tools with biotech and pharma relevance
MiTeGen 9,https://www.mitegen.com,C,Niche crystallography tools — small but relevant for scientific labs
Campro Scientific 9,https://www.campro.eu,C,Specialty lab chemical supplier — supports small-scale research setups
Morphisto 9,https://www.morphisto.de,C,Lab reagents and histology tools — useful in niche biomedical research
Cryoport Systems 9,https://www.cryoport.com,C,Specialized cold chain transport — critical for pharma logistics
Thermo Fisher Scientific 10,https://www.thermofisher.com,A,Global leader in lab instruments & consumables — core scientific manufacturing relevance
Danaher Corporation 10,https://www.danaher.com,A,Diversified scientific instrument & life sciences OEM used in pharma and biotech
Agilent Technologies 10,https://www.agilent.com,A,Top analytical instrument manufacturer widely used in pharma QC and R&D
Waters Corporation 10,https://www.waters.com,A,Chromatography and mass spec tools used in drug development and QA
Eppendorf 10,https://www.eppendorf.com,B,Manufactures lab tools and consumables — relevant for R&D tooling needs
Sartorius 10,https://www.sartorius.com,B,Bioprocess and lab automation tools used in pharmaceutical R&D
Metrohm 10,https://www.metrohm.com,B,Electrochemical analysis tools used in lab workflows
Bio-Rad Laboratories 10,https://www.bio-rad.com,B,Life science tools with biotech and pharma relevance
MiTeGen 10,https://www.mitegen.com,C,Niche crystallography tools — small but relevant for scientific labs
Campro Scientific 10,https://www.campro.eu,C,Specialty lab chemical supplier — supports small-scale research setups
Morphisto 10,https://www.morphisto.de,C,Lab reagents and histology tools — useful in niche biomedical research
Cryoport Systems 10,https://www.cryoport.com,C,Specialized cold chain transport — critical for pharma logistics
Thermo Fisher Scientific 11,https://www.thermofisher.com,A,Global leader in lab instruments & consumables — core scientific manufacturing relevance
Danaher Corporation 11,https://www.danaher.com,A,Diversified scientific instrument & life sciences OEM used in pharma and biotech
Agilent Technologies 11,https://www.agilent.com,A,Top analytical instrument manufacturer widely used in pharma QC and R&D
Waters Corporation 11,https://www.waters.com,A,Chromatography and mass spec tools used in drug development and QA
Eppendorf 11,https://www.eppendorf.com,B,Manufactures lab tools and consumables — relevant for R&D tooling needs
Sartorius 11,https://www.sartorius.com,B,Bioprocess and lab automation tools used in pharmaceutical R&D
Metrohm 11,https://www.metrohm.com,B,Electrochemical analysis tools used in lab workflows
Bio-Rad Laboratories 11,https://www.bio-rad.com,B,Life science tools with biotech and pharma relevance
MiTeGen 11,https://www.mitegen.com,C,Niche crystallography tools — small but relevant for scientific labs
Campro Scientific 11,https://www.campro.eu,C,Specialty lab chemical supplier — supports small-scale research setups
Morphisto 11,https://www.morphisto.de,C,Lab reagents and histology tools — useful in niche biomedical research
Cryoport Systems 11,https://www.cryoport.com,C,Specialized cold chain transport — critical for pharma logistics
Thermo Fisher Scientific 12,https://www.thermofisher.com,A,Global leader in lab instruments & consumables — core scientific manufacturing relevance
Danaher Corporation 12,https://www.danaher.com,A,Diversified scientific instrument & life sciences OEM used in pharma and biotech
Agilent Technologies 12,https://www.agilent.com,A,Top analytical instrument manufacturer widely used in pharma QC and R&D
Waters Corporation 12,https://www.waters.com,A,Chromatography and mass spec tools used in drug development and QA
Eppendorf 12,https://www.eppendorf.com,B,Manufactures lab tools and consumables — relevant for R&D tooling needs
Sartorius 12,https://www.sartorius.com,B,Bioprocess and lab automation tools used in pharmaceutical R&D
Metrohm 12,https://www.metrohm.com,B,Electrochemical analysis tools used in lab workflows
Bio-Rad Laboratories 12,https://www.bio-rad.com,B,Life science tools with biotech and pharma relevance
MiTeGen 12,https://www.mitegen.com,C,Niche crystallography tools — small but relevant for scientific labs
Campro Scientific 12,https://www.campro.eu,C,Specialty lab chemical supplier — supports small-scale research setups
Morphisto 12,https://www.morphisto.de,C,Lab reagents and histology tools — useful in niche biomedical research
Cryoport Systems 12,https://www.cryoport.com,C,Specialized cold chain transport — critical for pharma logistics
Thermo Fisher Scientific 13,https://www.thermofisher.com,A,Global leader in lab instruments & consumables — core scientific manufacturing relevance
Danaher Corporation 13,https://www.danaher.com,A,Diversified scientific instrument & life sciences OEM used in pharma and biotech
Agilent Technologies 13,https://www.agilent.com,A,Top analytical instrument manufacturer widely used in pharma QC and R&D
Waters Corporation 13,https://www.waters.com,A,Chromatography and mass spec tools used in drug development and QA
Eppendorf 13,https://www.eppendorf.com,B,Manufactures lab tools and consumables — relevant for R&D tooling needs
Sartorius 13,https://www.sartorius.com,B,Bioprocess and lab automation tools used in pharmaceutical R&D
Metrohm 13,https://www.metrohm.com,B,Electrochemical analysis tools used in lab workflows
Bio-Rad Laboratories 13,https://www.bio-rad.com,B,Life science tools with biotech and pharma relevance
MiTeGen 13,https://www.mitegen.com,C,Niche crystallography tools — small but relevant for scientific labs
Campro Scientific 13,https://www.campro.eu,C,Specialty lab chemical supplier — supports small-scale research setups
Morphisto 13,https://www.morphisto.de,C,Lab reagents and histology tools — useful in niche biomedical research
Cryoport Systems 13,https://www.cryoport.com,C,Specialized cold chain transport — critical for pharma logistics
Thermo Fisher Scientific 14,https://www.thermofisher.com,A,Global leader in lab instruments & consumables — core scientific manufacturing relevance
Danaher Corporation 14,https://www.danaher.com,A,Diversified scientific instrument & life sciences OEM used in pharma and biotech
Agilent Technologies 14,https://www.agilent.com,A,Top analytical instrument manufacturer widely used in pharma QC and R&D
Waters Corporation 14,https://www.waters.com,A,Chromatography and mass spec tools used in drug development and QA
Eppendorf 14,https://www.eppendorf.com,B,Manufactures lab tools and consumables — relevant for R&D tooling needs
Sartorius 14,https://www.sartorius.com,B,Bioprocess and lab automation tools used in pharmaceutical R&D
Metrohm 14,https://www.metrohm.com,B,Electrochemical analysis tools used in lab workflows
Bio-Rad Laboratories 14,https://www.bio-rad.com,B,Life science tools with biotech and pharma relevance
MiTeGen 14,https://www.mitegen.com,C,Niche crystallography tools — small but relevant for scientific labs
Campro Scientific 14,https://www.campro.eu,C,Specialty lab chemical supplier — supports small-scale research setups
Morphisto 14,https://www.morphisto.de,C,Lab reagents and histology tools — useful in niche biomedical research
Cryoport Systems 14,https://www.cryoport.com,C,Specialized cold chain transport — critical for pharma logistics
Thermo Fisher Scientific 15,https://www.thermofisher.com,A,Global leader in lab instruments & consumables — core scientific manufacturing relevance
Danaher Corporation 15,https://www.danaher.com,A,Diversified scientific instrument & life sciences OEM used in pharma and biotech
Agilent Technologies 15,https://www.agilent.com,A,Top analytical instrument manufacturer widely used in pharma QC and R&D
Waters Corporation 15,https://www.waters.com,A,Chromatography and mass spec tools used in drug development and QA
Eppendorf 15,https://www.eppendorf.com,B,Manufactures lab tools and consumables — relevant for R&D tooling needs
Sartorius 15,https://www.sartorius.com,B,Bioprocess and lab automation tools used in pharmaceutical R&D
Metrohm 15,https://www.metrohm.com,B,Electrochemical analysis tools used in lab workflows
Bio-Rad Laboratories 15,https://www.bio-rad.com,B,Life science tools with biotech and pharma relevance
MiTeGen 15,https://www.mitegen.com,C,Niche crystallography tools — small but relevant for scientific labs
Campro Scientific 15,https://www.campro.eu,C,Specialty lab chemical supplier — supports small-scale research setups
Morphisto 15,https://www.morphisto.de,C,Lab reagents and histology tools — useful in niche biomedical research
Cryoport Systems 15,https://www.cryoport.com,C,Specialized cold chain transport — critical for pharma logistics
Thermo Fisher Scientific 16,https://www.thermofisher.com,A,Global leader in lab instruments & consumables — core scientific manufacturing relevance
Danaher Corporation 16,https://www.danaher.com,A,Diversified scientific instrument & life sciences OEM used in pharma and biotech
Agilent Technologies 16,https://www.agilent.com,A,Top analytical instrument manufacturer widely used in pharma QC and R&D
Waters Corporation 16,https://www.waters.com,A,Chromatography and mass spec tools used in drug development and QA
Eppendorf 16,https://www.eppendorf.com,B,Manufactures lab tools and consumables — relevant for R&D tooling needs
Sartorius 16,https://www.sartorius.com,B,Bioprocess and lab automation tools used in pharmaceutical R&D
Metrohm 16,https://www.metrohm.com,B,Electrochemical analysis tools used in lab workflows
Bio-Rad Laboratories 16,https://www.bio-rad.com,B,Life science tools with biotech and pharma relevance
MiTeGen 16,https://www.mitegen.com,C,Niche crystallography tools — small but relevant for scientific labs
Campro Scientific 16,https://www.campro.eu,C,Specialty lab chemical supplier — supports small-scale research setups
Morphisto 16,https://www.morphisto.de,C,Lab reagents and histology tools — useful in niche biomedical research
Cryoport Systems 16,https://www.cryoport.com,C,Specialized cold chain transport — critical for pharma logistics
Thermo Fisher Scientific 17,https://www.thermofisher.com,A,Global leader in lab instruments & consumables — core scientific manufacturing relevance
Danaher Corporation 17,https://www.danaher.com,A,Diversified scientific instrument & life sciences OEM used in pharma and biotech
Agilent Technologies 17,https://www.agilent.com,A,Top analytical instrument manufacturer widely used in pharma QC and R&D
Waters Corporation 17,https://www.waters.com,A,Chromatography and mass spec tools used in drug development and QA
Eppendorf 17,https://www.eppendorf.com,B,Manufactures lab tools and consumables — relevant for R&D tooling needs
Sartorius 17,https://www.sartorius.com,B,Bioprocess and lab automation tools used in pharmaceutical R&D
Metrohm 17,https://www.metrohm.com,B,Electrochemical analysis tools used in lab workflows
Bio-Rad Laboratories 17,https://www.bio-rad.com,B,Life science tools with biotech and pharma relevance
MiTeGen 17,https://www.mitegen.com,C,Niche crystallography tools — small but relevant for scientific labs
Campro Scientific 17,https://www.campro.eu,C,Specialty lab chemical supplier — supports small-scale research setups
Morphisto 17,https://www.morphisto.de,C,Lab reagents and histology tools — useful in niche biomedical research
Cryoport Systems 17,https://www.cryoport.com,C,Specialized cold chain transport — critical for pharma logistics
Thermo Fisher Scientific 18,https://www.thermofisher.com,A,Global leader in lab instruments & consumables — core scientific manufacturing relevance
Danaher Corporation 18,https://www.danaher.com,A,Diversified scientific instrument & life sciences OEM used in pharma and biotech
Agilent Technologies 18,https://www.agilent.com,A,Top analytical instrument manufacturer widely used in pharma QC and R&D
Waters Corporation 18,https://www.waters.com,A,Chromatography and mass spec tools used in drug development and QA
Eppendorf 18,https://www.eppendorf.com,B,Manufactures lab tools and consumables — relevant for R&D tooling needs
Sartorius 18,https://www.sartorius.com,B,Bioprocess and lab automation tools used in pharmaceutical R&D
Metrohm 18,https://www.metrohm.com,B,Electrochemical analysis tools used in lab workflows
Bio-Rad Laboratories 18,https://www.bio-rad.com,B,Life science tools with biotech and pharma relevance
MiTeGen 18,https://www.mitegen.com,C,Niche crystallography tools — small but relevant for scientific labs
Campro Scientific 18,https://www.campro.eu,C,Specialty lab chemical supplier — supports small-scale research setups
Morphisto 18,https://www.morphisto.de,C,Lab reagents and histology tools — useful in niche biomedical research
Cryoport Systems 18,https://www.cryoport.com,C,Specialized cold chain transport — critical for pharma logistics
Thermo Fisher Scientific 19,https://www.thermofisher.com,A,Global leader in lab instruments & consumables — core scientific manufacturing relevance
Danaher Corporation 19,https://www.danaher.com,A,Diversified scientific instrument & life sciences OEM used in pharma and biotech
Agilent Technologies 19,https://www.agilent.com,A,Top analytical instrument manufacturer widely used in pharma QC and R&D
Waters Corporation 19,https://www.waters.com,A,Chromatography and mass spec tools used in drug development and QA
Eppendorf 19,https://www.eppendorf.com,B,Manufactures lab tools and consumables — relevant for R&D tooling needs
Sartorius 19,https://www.sartorius.com,B,Bioprocess and lab automation tools used in pharmaceutical R&D
Metrohm 19,https://www.metrohm.com,B,Electrochemical analysis tools used in lab workflows
Bio-Rad Laboratories 19,https://www.bio-rad.com,B,Life science tools with biotech and pharma relevance
MiTeGen 19,https://www.mitegen.com,C,Niche crystallography tools — small but relevant for scientific labs
Campro Scientific 19,https://www.campro.eu,C,Specialty lab chemical supplier — supports small-scale research setups
Morphisto 19,https://www.morphisto.de,C,Lab reagents and histology tools — useful in niche biomedical research
Cryoport Systems 19,https://www.cryoport.com,C,Specialized cold chain transport — critical for pharma logistics
Thermo Fisher Scientific 20,https://www.thermofisher.com,A,Global leader in lab instruments & consumables — core scientific manufacturing relevance
Danaher Corporation 20,https://www.danaher.com,A,Diversified scientific instrument & life sciences OEM used in pharma and biotech
Agilent Technologies 20,https://www.agilent.com,A,Top analytical instrument manufacturer widely used in pharma QC and R&D
Waters Corporation 20,https://www.waters.com,A,Chromatography and mass spec tools used in drug development and QA
Eppendorf 20,https://www.eppendorf.com,B,Manufactures lab tools and consumables — relevant for R&D tooling needs
Sartorius 20,https://www.sartorius.com,B,Bioprocess and lab automation tools used in pharmaceutical R&D
Metrohm 20,https://www.metrohm.com,B,Electrochemical analysis tools used in lab workflows
Bio-Rad Laboratories 20,https://www.bio-rad.com,B,Life science tools with biotech and pharma relevance
MiTeGen 20,https://www.mitegen.com,C,Niche crystallography tools — small but relevant for scientific labs
Campro Scientific 20,https://www.campro.eu,C,Specialty lab chemical supplier — supports small-scale research setups
Morphisto 20,https://www.morphisto.de,C,Lab reagents and histology tools — useful in niche biomedical research
Cryoport Systems 20,https://www.cryoport.com,C,Specialized cold chain transport — critical for pharma logistics
Thermo Fisher Scientific 21,https://www.thermofisher.com,A,Global leader in lab instruments & consumables — core scientific manufacturing relevance
Danaher Corporation 21,https://www.danaher.com,A,Diversified scientific instrument & life sciences OEM used in pharma and biotech
Agilent Technologies 21,https://www.agilent.com,A,Top analytical instrument manufacturer widely used in pharma QC and R&D
Waters Corporation 21,https://www.waters.com,A,Chromatography and mass spec tools used in drug development and QA
Eppendorf 21,https://www.eppendorf.com,B,Manufactures lab tools and consumables — relevant for R&D tooling needs
Sartorius 21,https://www.sartorius.com,B,Bioprocess and lab automation tools used in pharmaceutical R&D
Metrohm 21,https://www.metrohm.com,B,Electrochemical analysis tools used in lab workflows
Bio-Rad Laboratories 21,https://www.bio-rad.com,B,Life science tools with biotech and pharma relevance
MiTeGen 21,https://www.mitegen.com,C,Niche crystallography tools — small but relevant for scientific labs
Campro Scientific 21,https://www.campro.eu,C,Specialty lab chemical supplier — supports small-scale research setups
