Company,Website,Tier,Why Relevant
Morphisto 21,https://www.morphisto.de,C,Lab reagents and histology tools — useful in niche biomedical research
Cryoport Systems 21,https://www.cryoport.com,C,Specialized cold chain transport — critical for pharma logistics
Thermo Fisher Scientific 22,https://www.thermofisher.com,A,Global leader in lab instruments & consumables — core scientific manufacturing relevance
Danaher Corporation 22,https://www.danaher.com,A,Diversified scientific instrument & life sciences OEM used in pharma and biotech
Agilent Technologies 22,https://www.agilent.com,A,Top analytical instrument manufacturer widely used in pharma QC and R&D
Waters Corporation 22,https://www.waters.com,A,Chromatography and mass spec tools used in drug development and QA
Eppendorf 22,https://www.eppendorf.com,B,Manufactures lab tools and consumables — relevant for R&D tooling needs
Sartorius 22,https://www.sartorius.com,B,Bioprocess and lab automation tools used in pharmaceutical R&D
Metrohm 22,https://www.metrohm.com,B,Electrochemical analysis tools used in lab workflows
Bio-Rad Laboratories 22,https://www.bio-rad.com,B,Life science tools with biotech and pharma relevance
MiTeGen 22,https://www.mitegen.com,C,Niche crystallography tools — small but relevant for scientific labs
Campro Scientific 22,https://www.campro.eu,C,Specialty lab chemical supplier — supports small-scale research setups
Morphisto 22,https://www.morphisto.de,C,Lab reagents and histology tools — useful in niche biomedical research
Cryoport Systems 22,https://www.cryoport.com,C,Specialized cold chain transport — critical for pharma logistics
Thermo Fisher Scientific 23,https://www.thermofisher.com,A,Global leader in lab instruments & consumables — core scientific manufacturing relevance
Danaher Corporation 23,https://www.danaher.com,A,Diversified scientific instrument & life sciences OEM used in pharma and biotech
Agilent Technologies 23,https://www.agilent.com,A,Top analytical instrument manufacturer widely used in pharma QC and R&D
Waters Corporation 23,https://www.waters.com,A,Chromatography and mass spec tools used in drug development and QA
Eppendorf 23,https://www.eppendorf.com,B,Manufactures lab tools and consumables — relevant for R&D tooling needs
Sartorius 23,https://www.sartorius.com,B,Bioprocess and lab automation tools used in pharmaceutical R&D
Metrohm 23,https://www.metrohm.com,B,Electrochemical analysis tools used in lab workflows
Bio-Rad Laboratories 23,https://www.bio-rad.com,B,Life science tools with biotech and pharma relevance
MiTeGen 23,https://www.mitegen.com,C,Niche crystallography tools — small but relevant for scientific labs
Campro Scientific 23,https://www.campro.eu,C,Specialty lab chemical supplier — supports small-scale research setups
Morphisto 23,https://www.morphisto.de,C,Lab reagents and histology tools — useful in niche biomedical research
Cryoport Systems 23,https://www.cryoport.com,C,Specialized cold chain transport — critical for pharma logistics
Thermo Fisher Scientific 24,https://www.thermofisher.com,A,Global leader in lab instruments & consumables — core scientific manufacturing relevance
Danaher Corporation 24,https://www.danaher.com,A,Diversified scientific instrument & life sciences OEM used in pharma and biotech
Agilent Technologies 24,https://www.agilent.com,A,Top analytical instrument manufacturer widely used in pharma QC and R&D
Waters Corporation 24,https://www.waters.com,A,Chromatography and mass spec tools used in drug development and QA
Eppendorf 24,https://www.eppendorf.com,B,Manufactures lab tools and consumables — relevant for R&D tooling needs
Sartorius 24,https://www.sartorius.com,B,Bioprocess and lab automation tools used in pharmaceutical R&D
Metrohm 24,https://www.metrohm.com,B,Electrochemical analysis tools used in lab workflows
Bio-Rad Laboratories 24,https://www.bio-rad.com,B,Life science tools with biotech and pharma relevance
MiTeGen 24,https://www.mitegen.com,C,Niche crystallography tools — small but relevant for scientific labs
Campro Scientific 24,https://www.campro.eu,C,Specialty lab chemical supplier — supports small-scale research setups
Morphisto 24,https://www.morphisto.de,C,Lab reagents and histology tools — useful in niche biomedical research
Cryoport Systems 24,https://www.cryoport.com,C,Specialized cold chain transport — critical for pharma logistics
Thermo Fisher Scientific 25,https://www.thermofisher.com,A,Global leader in lab instruments & consumables — core scientific manufacturing relevance
Danaher Corporation 25,https://www.danaher.com,A,Diversified scientific instrument & life sciences OEM used in pharma and biotech
Agilent Technologies 25,https://www.agilent.com,A,Top analytical instrument manufacturer widely used in pharma QC and R&D
Waters Corporation 25,https://www.waters.com,A,Chromatography and mass spec tools used in drug development and QA
Eppendorf 25,https://www.eppendorf.com,B,Manufactures lab tools and consumables — relevant for R&D tooling needs
Sartorius 25,https://www.sartorius.com,B,Bioprocess and lab automation tools used in pharmaceutical R&D
Metrohm 25,https://www.metrohm.com,B,Electrochemical analysis tools used in lab workflows
Bio-Rad Laboratories 25,https://www.bio-rad.com,B,Life science tools with biotech and pharma relevance
MiTeGen 25,https://www.mitegen.com,C,Niche crystallography tools — small but relevant for scientific labs
Campro Scientific 25,https://www.campro.eu,C,Specialty lab chemical supplier — supports small-scale research setups
Morphisto 25,https://www.morphisto.de,C,Lab reagents and histology tools — useful in niche biomedical research
Cryoport Systems 25,https://www.cryoport.com,C,Specialized cold chain transport — critical for pharma logistics
Thermo Fisher Scientific 26,https://www.thermofisher.com,A,Global leader in lab instruments & consumables — core scientific manufacturing relevance
Danaher Corporation 26,https://www.danaher.com,A,Diversified scientific instrument & life sciences OEM used in pharma and biotech
Agilent Technologies 26,https://www.agilent.com,A,Top analytical instrument manufacturer widely used in pharma QC and R&D
Waters Corporation 26,https://www.waters.com,A,Chromatography and mass spec tools used in drug development and QA
Eppendorf 26,https://www.eppendorf.com,B,Manufactures lab tools and consumables — relevant for R&D tooling needs
Sartorius 26,https://www.sartorius.com,B,Bioprocess and lab automation tools used in pharmaceutical R&D
Metrohm 26,https://www.metrohm.com,B,Electrochemical analysis tools used in lab workflows
Bio-Rad Laboratories 26,https://www.bio-rad.com,B,Life science tools with biotech and pharma relevance
MiTeGen 26,https://www.mitegen.com,C,Niche crystallography tools — small but relevant for scientific labs
Campro Scientific 26,https://www.campro.eu,C,Specialty lab chemical supplier — supports small-scale research setups
Morphisto 26,https://www.morphisto.de,C,Lab reagents and histology tools — useful in niche biomedical research
Cryoport Systems 26,https://www.cryoport.com,C,Specialized cold chain transport — critical for pharma logistics
Thermo Fisher Scientific 27,https://www.thermofisher.com,A,Global leader in lab instruments & consumables — core scientific manufacturing relevance
Danaher Corporation 27,https://www.danaher.com,A,Diversified scientific instrument & life sciences OEM used in pharma and biotech
Agilent Technologies 27,https://www.agilent.com,A,Top analytical instrument manufacturer widely used in pharma QC and R&D
Waters Corporation 27,https://www.waters.com,A,Chromatography and mass spec tools used in drug development and QA
Eppendorf 27,https://www.eppendorf.com,B,Manufactures lab tools and consumables — relevant for R&D tooling needs
Sartorius 27,https://www.sartorius.com,B,Bioprocess and lab automation tools used in pharmaceutical R&D
Metrohm 27,https://www.metrohm.com,B,Electrochemical analysis tools used in lab workflows
Bio-Rad Laboratories 27,https://www.bio-rad.com,B,Life science tools with biotech and pharma relevance
MiTeGen 27,https://www.mitegen.com,C,Niche crystallography tools — small but relevant for scientific labs
Campro Scientific 27,https://www.campro.eu,C,Specialty lab chemical supplier — supports small-scale research setups
Morphisto 27,https://www.morphisto.de,C,Lab reagents and histology tools — useful in niche biomedical research
Cryoport Systems 27,https://www.cryoport.com,C,Specialized cold chain transport — critical for pharma logistics
Thermo Fisher Scientific 28,https://www.thermofisher.com,A,Global leader in lab instruments & consumables — core scientific manufacturing relevance
Danaher Corporation 28,https://www.danaher.com,A,Diversified scientific instrument & life sciences OEM used in pharma and biotech
Agilent Technologies 28,https://www.agilent.com,A,Top analytical instrument manufacturer widely used in pharma QC and R&D
Waters Corporation 28,https://www.waters.com,A,Chromatography and mass spec tools used in drug development and QA
Eppendorf 28,https://www.eppendorf.com,B,Manufactures lab tools and consumables — relevant for R&D tooling needs
Sartorius 28,https://www.sartorius.com,B,Bioprocess and lab automation tools used in pharmaceutical R&D
Metrohm 28,https://www.metrohm.com,B,Electrochemical analysis tools used in lab workflows
Bio-Rad Laboratories 28,https://www.bio-rad.com,B,Life science tools with biotech and pharma relevance
MiTeGen 28,https://www.mitegen.com,C,Niche crystallography tools — small but relevant for scientific labs
Campro Scientific 28,https://www.campro.eu,C,Specialty lab chemical supplier — supports small-scale research setups
Morphisto 28,https://www.morphisto.de,C,Lab reagents and histology tools — useful in niche biomedical research
Cryoport Systems 28,https://www.cryoport.com,C,Specialized cold chain transport — critical for pharma logistics
Thermo Fisher Scientific 29,https://www.thermofisher.com,A,Global leader in lab instruments & consumables — core scientific manufacturing relevance
Danaher Corporation 29,https://www.danaher.com,A,Diversified scientific instrument & life sciences OEM used in pharma and biotech
Agilent Technologies 29,https://www.agilent.com,A,Top analytical instrument manufacturer widely used in pharma QC and R&D
Waters Corporation 29,https://www.waters.com,A,Chromatography and mass spec tools used in drug development and QA
Eppendorf 29,https://www.eppendorf.com,B,Manufactures lab tools and consumables — relevant for R&D tooling needs
Sartorius 29,https://www.sartorius.com,B,Bioprocess and lab automation tools used in pharmaceutical R&D
Metrohm 29,https://www.metrohm.com,B,Electrochemical analysis tools used in lab workflows
Bio-Rad Laboratories 29,https://www.bio-rad.com,B,Life science tools with biotech and pharma relevance
MiTeGen 29,https://www.mitegen.com,C,Niche crystallography tools — small but relevant for scientific labs
Campro Scientific 29,https://www.campro.eu,C,Specialty lab chemical supplier — supports small-scale research setups
Morphisto 29,https://www.morphisto.de,C,Lab reagents and histology tools — useful in niche biomedical research
Cryoport Systems 29,https://www.cryoport.com,C,Specialized cold chain transport — critical for pharma logistics
Thermo Fisher Scientific 30,https://www.thermofisher.com,A,Global leader in lab instruments & consumables — core scientific manufacturing relevance
Danaher Corporation 30,https://www.danaher.com,A,Diversified scientific instrument & life sciences OEM used in pharma and biotech
Agilent Technologies 30,https://www.agilent.com,A,Top analytical instrument manufacturer widely used in pharma QC and R&D
Waters Corporation 30,https://www.waters.com,A,Chromatography and mass spec tools used in drug development and QA
Eppendorf 30,https://www.eppendorf.com,B,Manufactures lab tools and consumables — relevant for R&D tooling needs
Sartorius 30,https://www.sartorius.com,B,Bioprocess and lab automation tools used in pharmaceutical R&D
Metrohm 30,https://www.metrohm.com,B,Electrochemical analysis tools used in lab workflows
Bio-Rad Laboratories 30,https://www.bio-rad.com,B,Life science tools with biotech and pharma relevance
MiTeGen 30,https://www.mitegen.com,C,Niche crystallography tools — small but relevant for scientific labs
Campro Scientific 30,https://www.campro.eu,C,Specialty lab chemical supplier — supports small-scale research setups
Morphisto 30,https://www.morphisto.de,C,Lab reagents and histology tools — useful in niche biomedical research
Cryoport Systems 30,https://www.cryoport.com,C,Specialized cold chain transport — critical for pharma logistics
Thermo Fisher Scientific 31,https://www.thermofisher.com,A,Global leader in lab instruments & consumables — core scientific manufacturing relevance
Danaher Corporation 31,https://www.danaher.com,A,Diversified scientific instrument & life sciences OEM used in pharma and biotech
Agilent Technologies 31,https://www.agilent.com,A,Top analytical instrument manufacturer widely used in pharma QC and R&D
Waters Corporation 31,https://www.waters.com,A,Chromatography and mass spec tools used in drug development and QA
Eppendorf 31,https://www.eppendorf.com,B,Manufactures lab tools and consumables — relevant for R&D tooling needs
Sartorius 31,https://www.sartorius.com,B,Bioprocess and lab automation tools used in pharmaceutical R&D
Metrohm 31,https://www.metrohm.com,B,Electrochemical analysis tools used in lab workflows
Bio-Rad Laboratories 31,https://www.bio-rad.com,B,Life science tools with biotech and pharma relevance
MiTeGen 31,https://www.mitegen.com,C,Niche crystallography tools — small but relevant for scientific labs
Campro Scientific 31,https://www.campro.eu,C,Specialty lab chemical supplier — supports small-scale research setups
Morphisto 31,https://www.morphisto.de,C,Lab reagents and histology tools — useful in niche biomedical research
Cryoport Systems 31,https://www.cryoport.com,C,Specialized cold chain transport — critical for pharma logistics
Thermo Fisher Scientific 32,https://www.thermofisher.com,A,Global leader in lab instruments & consumables — core scientific manufacturing relevance
Danaher Corporation 32,https://www.danaher.com,A,Diversified scientific instrument & life sciences OEM used in pharma and biotech
Agilent Technologies 32,https://www.agilent.com,A,Top analytical instrument manufacturer widely used in pharma QC and R&D
Waters Corporation 32,https://www.waters.com,A,Chromatography and mass spec tools used in drug development and QA
Eppendorf 32,https://www.eppendorf.com,B,Manufactures lab tools and consumables — relevant for R&D tooling needs
Sartorius 32,https://www.sartorius.com,B,Bioprocess and lab automation tools used in pharmaceutical R&D
Metrohm 32,https://www.metrohm.com,B,Electrochemical analysis tools used in lab workflows
Bio-Rad Laboratories 32,https://www.bio-rad.com,B,Life science tools with biotech and pharma relevance
MiTeGen 32,https://www.mitegen.com,C,Niche crystallography tools — small but relevant for scientific labs
Campro Scientific 32,https://www.campro.eu,C,Specialty lab chemical supplier — supports small-scale research setups
Morphisto 32,https://www.morphisto.de,C,Lab reagents and histology tools — useful in niche biomedical research
Cryoport Systems 32,https://www.cryoport.com,C,Specialized cold chain transport — critical for pharma logistics
Thermo Fisher Scientific 33,https://www.thermofisher.com,A,Global leader in lab instruments & consumables — core scientific manufacturing relevance
Danaher Corporation 33,https://www.danaher.com,A,Diversified scientific instrument & life sciences OEM used in pharma and biotech
Agilent Technologies 33,https://www.agilent.com,A,Top analytical instrument manufacturer widely used in pharma QC and R&D
Waters Corporation 33,https://www.waters.com,A,Chromatography and mass spec tools used in drug development and QA
Eppendorf 33,https://www.eppendorf.com,B,Manufactures lab tools and consumables — relevant for R&D tooling needs
Sartorius 33,https://www.sartorius.com,B,Bioprocess and lab automation tools used in pharmaceutical R&D
Metrohm 33,https://www.metrohm.com,B,Electrochemical analysis tools used in lab workflows
Bio-Rad Laboratories 33,https://www.bio-rad.com,B,Life science tools with biotech and pharma relevance
MiTeGen 33,https://www.mitegen.com,C,Niche crystallography tools — small but relevant for scientific labs
Campro Scientific 33,https://www.campro.eu,C,Specialty lab chemical supplier — supports small-scale research setups
Morphisto 33,https://www.morphisto.de,C,Lab reagents and histology tools — useful in niche biomedical research
Cryoport Systems 33,https://www.cryoport.com,C,Specialized cold chain transport — critical for pharma logistics
Thermo Fisher Scientific 34,https://www.thermofisher.com,A,Global leader in lab instruments & consumables — core scientific manufacturing relevance
Danaher Corporation 34,https://www.danaher.com,A,Diversified scientific instrument & life sciences OEM used in pharma and biotech
Agilent Technologies 34,https://www.agilent.com,A,Top analytical instrument manufacturer widely used in pharma QC and R&D
Waters Corporation 34,https://www.waters.com,A,Chromatography and mass spec tools used in drug development and QA
Eppendorf 34,https://www.eppendorf.com,B,Manufactures lab tools and consumables — relevant for R&D tooling needs
Sartorius 34,https://www.sartorius.com,B,Bioprocess and lab automation tools used in pharmaceutical R&D
Metrohm 34,https://www.metrohm.com,B,Electrochemical analysis tools used in lab workflows
Bio-Rad Laboratories 34,https://www.bio-rad.com,B,Life science tools with biotech and pharma relevance
MiTeGen 34,https://www.mitegen.com,C,Niche crystallography tools — small but relevant for scientific labs
Campro Scientific 34,https://www.campro.eu,C,Specialty lab chemical supplier — supports small-scale research setups
Morphisto 34,https://www.morphisto.de,C,Lab reagents and histology tools — useful in niche biomedical research
Cryoport Systems 34,https://www.cryoport.com,C,Specialized cold chain transport — critical for pharma logistics
Thermo Fisher Scientific 35,https://www.thermofisher.com,A,Global leader in lab instruments & consumables — core scientific manufacturing relevance
Danaher Corporation 35,https://www.danaher.com,A,Diversified scientific instrument & life sciences OEM used in pharma and biotech
Agilent Technologies 35,https://www.agilent.com,A,Top analytical instrument manufacturer widely used in pharma QC and R&D
Waters Corporation 35,https://www.waters.com,A,Chromatography and mass spec tools used in drug development and QA
Eppendorf 35,https://www.eppendorf.com,B,Manufactures lab tools and consumables — relevant for R&D tooling needs
Sartorius 35,https://www.sartorius.com,B,Bioprocess and lab automation tools used in pharmaceutical R&D
Metrohm 35,https://www.metrohm.com,B,Electrochemical analysis tools used in lab workflows
Bio-Rad Laboratories 35,https://www.bio-rad.com,B,Life science tools with biotech and pharma relevance
MiTeGen 35,https://www.mitegen.com,C,Niche crystallography tools — small but relevant for scientific labs
Campro Scientific 35,https://www.campro.eu,C,Specialty lab chemical supplier — supports small-scale research setups
Morphisto 35,https://www.morphisto.de,C,Lab reagents and histology tools — useful in niche biomedical research
Cryoport Systems 35,https://www.cryoport.com,C,Specialized cold chain transport — critical for pharma logistics
Thermo Fisher Scientific 36,https://www.thermofisher.com,A,Global leader in lab instruments & consumables — core scientific manufacturing relevance
Danaher Corporation 36,https://www.danaher.com,A,Diversified scientific instrument & life sciences OEM used in pharma and biotech
Agilent Technologies 36,https://www.agilent.com,A,Top analytical instrument manufacturer widely used in pharma QC and R&D
Waters Corporation 36,https://www.waters.com,A,Chromatography and mass spec tools used in drug development and QA
Eppendorf 36,https://www.eppendorf.com,B,Manufactures lab tools and consumables — relevant for R&D tooling needs
Sartorius 36,https://www.sartorius.com,B,Bioprocess and lab automation tools used in pharmaceutical R&D
Metrohm 36,https://www.metrohm.com,B,Electrochemical analysis tools used in lab workflows
Bio-Rad Laboratories 36,https://www.bio-rad.com,B,Life science tools with biotech and pharma relevance
MiTeGen 36,https://www.mitegen.com,C,Niche crystallography tools — small but relevant for scientific labs
Campro Scientific 36,https://www.campro.eu,C,Specialty lab chemical supplier — supports small-scale research setups
Morphisto 36,https://www.morphisto.de,C,Lab reagents and histology tools — useful in niche biomedical research
Cryoport Systems 36,https://www.cryoport.com,C,Specialized cold chain transport — critical for pharma logistics
Thermo Fisher Scientific 37,https://www.thermofisher.com,A,Global leader in lab instruments & consumables — core scientific manufacturing relevance
Danaher Corporation 37,https://www.danaher.com,A,Diversified scientific instrument & life sciences OEM used in pharma and biotech
Agilent Technologies 37,https://www.agilent.com,A,Top analytical instrument manufacturer widely used in pharma QC and R&D
Waters Corporation 37,https://www.waters.com,A,Chromatography and mass spec tools used in drug development and QA
Eppendorf 37,https://www.eppendorf.com,B,Manufactures lab tools and consumables — relevant for R&D tooling needs
Sartorius 37,https://www.sartorius.com,B,Bioprocess and lab automation tools used in pharmaceutical R&D
Metrohm 37,https://www.metrohm.com,B,Electrochemical analysis tools used in lab workflows
Bio-Rad Laboratories 37,https://www.bio-rad.com,B,Life science tools with biotech and pharma relevance
MiTeGen 37,https://www.mitegen.com,C,Niche crystallography tools — small but relevant for scientific labs
Campro Scientific 37,https://www.campro.eu,C,Specialty lab chemical supplier — supports small-scale research setups
Morphisto 37,https://www.morphisto.de,C,Lab reagents and histology tools — useful in niche biomedical research
Cryoport Systems 37,https://www.cryoport.com,C,Specialized cold chain transport — critical for pharma logistics
Thermo Fisher Scientific 38,https://www.thermofisher.com,A,Global leader in lab instruments & consumables — core scientific manufacturing relevance
Danaher Corporation 38,https://www.danaher.com,A,Diversified scientific instrument & life sciences OEM used in pharma and biotech
Agilent Technologies 38,https://www.agilent.com,A,Top analytical instrument manufacturer widely used in pharma QC and R&D
Waters Corporation 38,https://www.waters.com,A,Chromatography and mass spec tools used in drug development and QA
Eppendorf 38,https://www.eppendorf.com,B,Manufactures lab tools and consumables — relevant for R&D tooling needs
Sartorius 38,https://www.sartorius.com,B,Bioprocess and lab automation tools used in pharmaceutical R&D
Metrohm 38,https://www.metrohm.com,B,Electrochemical analysis tools used in lab workflows
Bio-Rad Laboratories 38,https://www.bio-rad.com,B,Life science tools with biotech and pharma relevance
MiTeGen 38,https://www.mitegen.com,C,Niche crystallography tools — small but relevant for scientific labs
Campro Scientific 38,https://www.campro.eu,C,Specialty lab chemical supplier — supports small-scale research setups
Morphisto 38,https://www.morphisto.de,C,Lab reagents and histology tools — useful in niche biomedical research
Cryoport Systems 38,https://www.cryoport.com,C,Specialized cold chain transport — critical for pharma logistics
Thermo Fisher Scientific 39,https://www.thermofisher.com,A,Global leader in lab instruments & consumables — core scientific manufacturing relevance
Danaher Corporation 39,https://www.danaher.com,A,Diversified scientific instrument & life sciences OEM used in pharma and biotech
Agilent Technologies 39,https://www.agilent.com,A,Top analytical instrument manufacturer widely used in pharma QC and R&D
Waters Corporation 39,https://www.waters.com,A,Chromatography and mass spec tools used in drug development and QA
Eppendorf 39,https://www.eppendorf.com,B,Manufactures lab tools and consumables — relevant for R&D tooling needs
Sartorius 39,https://www.sartorius.com,B,Bioprocess and lab automation tools used in pharmaceutical R&D
Metrohm 39,https://www.metrohm.com,B,Electrochemical analysis tools used in lab workflows
Bio-Rad Laboratories 39,https://www.bio-rad.com,B,Life science tools with biotech and pharma relevance
MiTeGen 39,https://www.mitegen.com,C,Niche crystallography tools — small but relevant for scientific labs
Campro Scientific 39,https://www.campro.eu,C,Specialty lab chemical supplier — supports small-scale research setups
Morphisto 39,https://www.morphisto.de,C,Lab reagents and histology tools — useful in niche biomedical research
Cryoport Systems 39,https://www.cryoport.com,C,Specialized cold chain transport — critical for pharma logistics
Thermo Fisher Scientific 40,https://www.thermofisher.com,A,Global leader in lab instruments & consumables — core scientific manufacturing relevance
Danaher Corporation 40,https://www.danaher.com,A,Diversified scientific instrument & life sciences OEM used in pharma and biotech
Agilent Technologies 40,https://www.agilent.com,A,Top analytical instrument manufacturer widely used in pharma QC and R&D
Waters Corporation 40,https://www.waters.com,A,Chromatography and mass spec tools used in drug development and QA
Eppendorf 40,https://www.eppendorf.com,B,Manufactures lab tools and consumables — relevant for R&D tooling needs
Sartorius 40,https://www.sartorius.com,B,Bioprocess and lab automation tools used in pharmaceutical R&D
Metrohm 40,https://www.metrohm.com,B,Electrochemical analysis tools used in lab workflows
Bio-Rad Laboratories 40,https://www.bio-rad.com,B,Life science tools with biotech and pharma relevance
MiTeGen 40,https://www.mitegen.com,C,Niche crystallography tools — small but relevant for scientific labs
Campro Scientific 40,https://www.campro.eu,C,Specialty lab chemical supplier — supports small-scale research setups
Morphisto 40,https://www.morphisto.de,C,Lab reagents and histology tools — useful in niche biomedical research
Cryoport Systems 40,https://www.cryoport.com,C,Specialized cold chain transport — critical for pharma logistics
Thermo Fisher Scientific 41,https://www.thermofisher.com,A,Global leader in lab instruments & consumables — core scientific manufacturing relevance
Danaher Corporation 41,https://www.danaher.com,A,Diversified scientific instrument & life sciences OEM used in pharma and biotech
Agilent Technologies 41,https://www.agilent.com,A,Top analytical instrument manufacturer widely used in pharma QC and R&D
Waters Corporation 41,https://www.waters.com,A,Chromatography and mass spec tools used in drug development and QA
Eppendorf 41,https://www.eppendorf.com,B,Manufactures lab tools and consumables — relevant for R&D tooling needs
Sartorius 41,https://www.sartorius.com,B,Bioprocess and lab automation tools used in pharmaceutical R&D
Metrohm 41,https://www.metrohm.com,B,Electrochemical analysis tools used in lab workflows
Bio-Rad Laboratories 41,https://www.bio-rad.com,B,Life science tools with biotech and pharma relevance
MiTeGen 41,https://www.mitegen.com,C,Niche crystallography tools — small but relevant for scientific labs
Campro Scientific 41,https://www.campro.eu,C,Specialty lab chemical supplier — supports small-scale research setups
Morphisto 41,https://www.morphisto.de,C,Lab reagents and histology tools — useful in niche biomedical research
Cryoport Systems 41,https://www.cryoport.com,C,Specialized cold chain transport — critical for pharma logistics
Thermo Fisher Scientific 42,https://www.thermofisher.com,A,Global leader in lab instruments & consumables — core scientific manufacturing relevance
Danaher Corporation 42,https://www.danaher.com,A,Diversified scientific instrument & life sciences OEM used in pharma and biotech
Agilent Technologies 42,https://www.agilent.com,A,Top analytical instrument manufacturer widely used in pharma QC and R&D
Waters Corporation 42,https://www.waters.com,A,Chromatography and mass spec tools used in drug development and QA
Eppendorf 42,https://www.eppendorf.com,B,Manufactures lab tools and consumables — relevant for R&D tooling needs
Sartorius 42,https://www.sartorius.com,B,Bioprocess and lab automation tools used in pharmaceutical R&D
Metrohm 42,https://www.metrohm.com,B,Electrochemical analysis tools used in lab workflows
Bio-Rad Laboratories 42,https://www.bio-rad.com,B,Life science tools with biotech and pharma relevance
